,0,1,2,3,4
59,프로소디 런던 리솜 린든 오 드 퍼퓸 50ml,프로소디 런던,호수에 뛰어든 멜론의 달콤함이 연두빛 물안개를 피워내는 상큼함,"134,000원 15.2% 할인",5.0
60,조말론 와일드 블루벨 코롱,조말론,연보랏빛 샴푸 향기가 주변을 같은 색으로 은은하게 물들이는 아름다움,"81,800원 23.6% 할인",4.8
61,톰포드 베네시안 베르가못 오 드 퍼퓸,톰포드,"고급스러운 스웨이드 질감의 앰버가 야경으로 깔린 밤, 지적인 가드니아와 베르가못이 연출하는 도시의 밤 향기","305,000원 16.4% 할인",0.0
62,딥디크 로드네롤리 오 드 뚜왈렛 100ml,딥티크,밝은 햇살을 머금은 비터 오렌지가 싱그럽게 흔들리는 네롤리의 푸른 잎사귀에 스며드는 순간,"175,000원 12.1% 할인",5.0
63,아쿠아 디 파르마 로사 노빌레 오 드 퍼퓸,아쿠아 디 파르마,흩날리는 머릿결에서 날 법한 생화 장미와 피오니의 아름드리 예쁜 향기,"128,000원 37.6% 할인",4.9
64,끌로에 로즈 탠저린 오 드 뚜왈렛 30/50ml,끌로에,"블랙커런트와 탠저린의 달콤한 경쾌함에, 하루종일 기분 좋아지는 싱그러운 플로럴","75,000원 34.8% 할인",5.0
65,디올 어딕트 오 프레쉬 오 드 뚜왈렛,디올,봄날의 첫사랑을 닮은 경쾌하고 여리여리한 시트러스 플로럴,"124,000원 11.4% 할인",4.9
66,불리 오 트리쁠 포레드 코미 75ml,불리 1803,"겨울 끝무렵, 한기가 닿은 쌉싸래한 풀내음이 가득 담긴 숲의 향기","170,000원 17.1% 할인",0.0
67,불리 오 트리플 멕시크 튜베로즈 75ml,불리 1803,단언컨대 가장 유려하게 흐르는 튜베로즈가 여인의 부드러운 등을 연상시키는 향기,"170,000원 17.1% 할인",4.9
68,메모 케두 오드퍼퓸 75ml,메모,노곤하고 따뜻한 들깨가루 오일의 깊고 에센셜한 향기,"263,000원 24.9% 할인",5.0
69,더 디퍼런트 컴퍼니 수블림 발키스 오 드 퍼퓸,더 디퍼런트 컴퍼니,비오는날 정원의 흙바닥에서 고고하게 있는 생장미와 블랙커런트의 향기,"168,000원 16.0% 할인",4.6
70,메모 오리엔탈 레더 오 드 퍼퓸 75ml,메모,"라벤더 빛 물안개, 흔들리는 바람에 피어난 장미 뒤로 밤하늘을 가득 수놓는 파츌리의 수수한 내음","263,000원 24.9% 할인",5.0
71,불리 오 트리쁠 베르켄 오렌지 블라썸 75ml,불리 1803,"갓 따낸 오렌지 나무 잎사귀에 레몬즙을 뿌린듯, 무더운 여름날 단비 같이 싱그런 오렌지 꽃망울","170,000원 17.1% 할인",0.0
72,오리베 데저트랜드 오 드 퍼퓸 75ml,오리베,"소나무의 청량함이 건조하게 피어나는 곳, 사막. 그 담담함에 대한 향기","128,870원 23.7% 할인",0.0
73,오리베 밸리 오브 플라워스 오 드 퍼퓸 75ml,오리베,"꽃이 만개한 5월, 따사로운 햇빛 속 로즈, 피오니, 바이올렛이 풍성하게 어울리는 향기","128,870원 23.7% 할인",0.0
74,오리베 코트 다쥐르 오 드 퍼퓸 75ml,오리베,"청량한 레몬이 시클라멘 꽃 위에 누워 파도를 타듯, 일렁이는 햇살 속에 젖어드는 낭만의 향기","128,870원 23.7% 할인",4.5
75,세르주루텐 라 를르지외즈 오 드 퍼퓸,세르주루텐,"검은 고양이가 하얀 자스민 꽃잎에 쉬다 간 자리, 진하게 남는 다크 머스크의 긴 여운","174,500원 14.9% 할인",5.0
76,킬리안 불레이 부 쿠셔 아베끄 모아 (나랑잘래) 오 드 퍼퓸 50ml,킬리안,"침대 위의 연인, 서로를 포근하게 끌어안은 온기만큼 몽글하게 퍼지는 화이트 플로럴-머스크","265,000원 14.0% 할인",5.0
77,킬리안 문라이트 인 헤븐 오 드 퍼퓸 50ml,킬리안,"파랗게 물든 저녁 하늘, 그대와 맞잡은 두 손이 저릿한 설렘을 일으키는 트로피컬 향기","285,000원 7.5% 할인",4.9
78,킬리안 롤링 인 러브 오 드 퍼퓸 50ml,킬리안,글라스 볼에 올려진 바닐라 아이스크림 한 스쿱과 그 위를 천천히 녹이는 따스한 아몬드 밀크,"265,000원 14.0% 할인",5.0
79,톰포드 블랙 오키드 오 드 퍼퓸 50ml,톰포드,"톰포드 베스트셀러, 럼에 담긴 플럼의 다크한 보랏빛이 연출하는 퇴폐적인 관능미","160,000원 17.9% 할인",4.9
80,톰포드 로즈프릭 오 드 퍼퓸 50ml,톰포드,"장미의 이중성, 퇴폐미와 외로움을 그린 향기","305,000원 35.1% 할인",5.0
81,불가리 오 파퓨메 오떼블랑 오드 코롱,불가리,"고요한 새벽안개 길의 끝에서 이슬과 함께 느껴질 법한 화이트 티의 정수, 깨끗함의 정점","119,000원 14.4% 할인",4.5
82,에르메스 운 자르뎅 아프레 라 무쏭 오 드 뚜왈렛,에르메스,"갑자기 내린 여우비에, 촉촉한 꽃내음과 물내음 섞인 메론향기가 피어났던 한적한 프랑스 정원","145,000원 17.1% 할인",0.0
83,프레데릭 말 윈로즈 30ml,프레데릭말,"야생화 기운을 받은 로즈, 그 치명적인 매력의 생장미 향기","195,000원 25.9% 할인",4.7
84,프레데릭 말 엉빠썽 50ml,프레데릭말,맑은 이슬을 머금은 라일락 생화 꽃 향기,"224,500원 19.2% 할인",4.7
85,프라다 캔디 플로럴 오 드 뚜왈렛 30/50/80ml,프라다,"딸기 칵테일에 사뿐히 올라간 꽃잎처럼, 부드럽게 연출하는 섹시함","88,000원 10.2% 할인",4.8
86,조말론 잉글리쉬 페어 앤 프리지아 바디 앤 핸드 로션 250ml,조말론,조말론 베스트셀러 '잉글리쉬 페어 앤 프리지아' 를 원하는 곳에 바를 수 있는 바디 & 핸드 로션,"70,000원 14.6% 할인",0.0
87,랄프로렌 폴로 랄프 우먼 오 드 뚜왈렛 30/50ml,랄프로렌,"랄프로렌 여자향수 베스트, 뭐 뿌렸는지 꼭 물어보는 향수","47,200원 20.0% 할인",4.7
88,구찌 알케미스트 가든 문라이트 세레나데 오 드 퍼퓸 150ml,구찌,"시원한 라벤더 바람과 함께 내 귓등을 타고 흐르는 청량함, 세이지와 라벤더의 여름날 향기","289,000원 8.0% 할인",0.0
89,펜할리곤스 베스트셀러 디스커버리 세트,펜할리곤스,펜할리곤스 베스트 & 스테디셀러 10종으로 구성된 디스커버리 패키지,"49,000원 21.0% 할인",5.0
90,구딸파리 로즈폼퐁 오 드 퍼퓸,아닉구딸,붉은 입술과 흑발의 탕웨이가 전하는 고급스러운 미소,"108,000원 45.5% 할인",5.0
91,에르메스 트윌리 데르메스 오 프와브레 오 드 퍼퓸,에르메스,"트윌리 라인 중 가장 가벼운 산뜻함을 가져, 부드러우면서도 분명히 각인되는 옅은 로즈와 비누 향기","98,000원 32.9% 할인",0.0
92,오리베 프래그런스 디스커버리 세트,오리베,"청량하게 부서지는 넓은 확산력, 오리베를 경험하기 좋은 3종 디스커버리 세트","29,700원 10.0% 할인",5.0
93,샤보 이노센트 프라질리테 오 드 퍼퓸 30ml,샤보,"꽃비누로 깨끗히 씻은 후, 수건만 가볍게 두르고 나온 듯한 순수+관능미","117,500원 24.2% 할인",4.3
94,샤보 에뜨왈 드 룬 오 드 퍼퓸 30ml,샤보,햇살을 잘게 부순듯한 파우더에서 날것 같은 오렌지블로썸의 나긋한 향기,"101,300원 19.0% 할인",0.0
95,입생로랑 리브르 오 드 퍼퓸,입생로랑,"따뜻한 라벤더의 포근함 속, 힘있게 남는 오렌지블라썸 커리어우먼","82,000원 20.4% 할인",4.8
96,구찌 알케미스트 가든 윈터스 스프링 오 드 퍼퓸 100ml,구찌,미모사와 아카시아 꽃을 가볍게 띄워놓은 미온수로 부드럽게 목욕한 후 살에 남은 잔향,"395,000원 12.2% 할인",0.0
97,살바도르 달리 달리라이트,살바도르 달리,사과를 머금은 백합샴푸 향을 은은하게 풍기는 데일리 향수,"23,800원 54.2% 할인",4.8
98,살바도르 달리 오드루비립스,살바도르 달리,포도와 파인애플을 갈아 얼음 위로 사각 부어놓은 데일리향수,"23,800원 54.2% 할인",4.7
99,구찌 알케미스트 가든 어 윈터 멜로디 사이프러스 센티드 워터 150ml,구찌,"서늘한 겨울 공기가 하얀 입김으로 되돌아가는 풍경, 그곳을 에워싸는 눈 덮인 초겨울의 숲 향기","289,000원 8.0% 할인",5.0
100,아틀리에 코롱 클레망틴 캘리포니아 30ml,아틀리에 코롱,"소다 밀키스를 마시는 상큼함, 아틀리에의 베스트셀러","72,000원 30.1% 할인",4.8
101,구찌 블룸 프로푸모 디 피오리 오 드 퍼퓸 50ml,구찌,구찌의 아이코닉한 블룸 감성을 더 잔잔하게 풀어낸 튜베로즈 향기,"107,000원 25.2% 할인",4.8
102,에트로 라자스탄 오 드 퍼퓸 100ml,에트로,"자유를 찾아 유랑하는 집시,보헤미안 스타일의 묵직한 앰버와 미모사 그리고 머스크의 폭닥한 향기","135,200원 20.0% 할인",0.0
103,에트로 비콜로피오리 오 드 뚜왈렛 50/100ml,에트로,고급스런 모던함의 벨 플라워가 상대방을 휘감는 매력,"83,200원 20.0% 할인",4.0
104,에트로 우다이푸르 오 드 퍼퓸 100ml,에트로,"레몬을 적신 고운 점토 비누로 샤워를 마친 후, 수건을 덮은 부드러움","166,000원 7.8% 할인",5.0
105,에트로 샨텅 오 드 퍼퓸 100ml,에트로,얇은 피오니 꽃잎이 블랙커런트와 연출하는 담백한 관능미,"135,000원 10.0% 할인",5.0
106,에트로 비아베리 오 드 뚜왈렛 100ml,에트로,"에트로 베스트셀러, 씻고 나온 라벤더 비누향이 설렘 가득히 사이프러스 숲을 감싸안는 순간","118,000원 18.6% 할인",4.8
107,구찌 길티블랙 우먼 오 드 뚜왈렛,구찌,"라즈베리와 파츌리의 은은한 모던함이, 퇴근길을 서두르는 그녀가 지나는 길에 잔잔한 흔적을 그리는 향기","97,000원 19.2% 할인",4.5
108,에르메스 오 도랑쥬 베르트 오 드 코롱,에르메스,"나른함 가득한 늦은 오후, 커튼 사이로 들어오는 햇살을 타고 흐르는 오렌지와 레몬의 상큼함","105,000원 35.2% 할인",0.0
109,에르메스 오 드 시트론 느와 오 드 코롱,에르메스,"에르메스식 남성의 관능미, 아슬아슬한 경게 사이를 넘나드는 시트러스 - 스모키의 정석","105,000원 35.2% 할인",5.0
110,몽클레르 뿌르 팜므 오 드 퍼퓸,몽클레르,"포근함이 느껴지는 함박눈 위로, 달콤한 바날리색 연유 라떼가 가볍게 녹아들며 남기는 자취","110,000원 8.3% 할인",5.0
