,tfidf
받다,0.04188999559926438
보고,0.04104543923637599
짜다,0.04091875578194273
고기,0.040137541146270966
역시,0.03994751596462107
종로,0.03994751596462107
만들다,0.03994751596462107
신당역,0.03936822717352609
계속,0.03920852914709373
간판,0.03910295960173268
영업,0.038469542329566384
올라가다,0.038469542329566384
다녀오다,0.03823728932977208
튀김,0.038089491966266605
맞다,0.03756164423946136
완전,0.03680154351286181
갈다,0.036653746149356334
해보다,0.036294809695128764
아쉽다,0.03578807587739573
신당동,0.03526283884258517
한번,0.03521800033244606
충무로,0.03509971082943521
만선,0.03494351951450734
크림,0.03480064280532693
코드,0.034392822772452
소요,0.03417531875491871
먹기,0.03416230487883557
화질,0.034148130752727046
노가리,0.034056735333474523
이름,0.034035621424402314
유명하다,0.033993393606257895
뭔가,0.03378225451553579
트랙,0.03316936267382723
기본,0.03306438160708066
괜찮다,0.032937698152647396
귀엽다,0.032937698152647396
만나다,0.032114255698831216
떡볶이,0.032093141789759
개다,0.03200868615347016
근처,0.031903116608109114
쓰다,0.031860888789964695
장소,0.03175531924460365
국물,0.03162863579017038
조명,0.03141749669944829
원래,0.0313477665269859
노포,0.03129339052260258
어울리다,0.03112190197243735
루프,0.03107588650506928
재생,0.030912758491919313
레트로,0.03091076288171525
지로,0.030847421154498622
생기,0.03076296551820978
기다리다,0.030636282063776523
종류,0.03057294033655989
구이,0.03057294033655989
따르다,0.029939523064393597
장만옥,0.02990680241082783
오픈,0.02970727006459929
출구,0.02934833361037172
자동,0.02911835034726964
후기,0.0290949667015052
드리다,0.028947169337999734
인스타,0.028503777247483326
선택,0.028461549429338904
기분,0.028461549429338904
건물,0.028208182520472386
요리,0.027997043429750287
두다,0.02761699306645051
광고,0.02742696788480062
화장실,0.027215828794078523
남다,0.027004689703356424
손님,0.026540183703767806
점심,0.02653549013906178
닭발,0.026453926132486795
주소,0.02620236115861245
명동,0.026100482103995196
끄다,0.02603344988603477
시작,0.02599122206789035
마늘,0.02582231079531267
어떻다,0.02582231079531267
차로,0.02580119688624046
지다,0.025695627340879414
살짝,0.025674513431807204
계단,0.02563228561366278
느껴지다,0.025421146522940682
포장마차,0.025284842038245346
먼저,0.025210007432218587
버리다,0.025188893523146374
포스팅,0.024893298796135437
평일,0.024795457998795435
간단하다,0.024724387523557757
내다,0.02463993188726892
생맥주,0.02453436234190787
안녕하다,0.02442879279654682
없이,0.024069856342319253
들어오다,0.023837603342524945
소개,0.023816489433452735
작다,0.023753147706236103
취향,0.023689805979019474
돼다,0.023668692069947265
새우,0.023563122524586217
이미,0.023490433893595675
추다,0.023245741873870723
곱창,0.023164177867295736
기억,0.02316195825221423
막걸리,0.02316195825221423
직접,0.023136989865104075
고르다,0.02292970525241992
시원하다,0.02290859134334771
위스키,0.02286510984318746
동네,0.02286510984318746
마음,0.022676338343553402
별로,0.022676338343553402
넣다,0.022655224434481192
갈비,0.02245034412698063
레이스,0.022338515798398042
제일,0.022338515798398042
나가다,0.0222669737949709
매다,0.022190718434892575
최고,0.022190718434892575
이쁘다,0.022148490616748152
가능하다,0.022127376707675943
야외,0.022106262798603733
감자,0.021979579344170476
날씨,0.021831781980665006
홍콩,0.021723213751137668
일상,0.021705098526231748
식사,0.021641756799015116
김치,0.0215600857379877
달달,0.02151507334458186
일기,0.021505709733604373
매장,0.021430617708293017
놀다,0.021388389890148598
스타,0.02124059252664313
맥옥,0.021179453707304435
소품,0.021070701698537787
가장,0.0209661117087044
깔끔하다,0.02090276998148777
매콤,0.020649403072621253
음악,0.02060850566127954
비싸다,0.020581317659087876
굉장하다,0.020480491800043573
라면,0.020396036163754735
이자카야,0.020336625639362924
드레싱룸,0.020269657834391747
수표로,0.020227873630596277
새롭다,0.020037099709527165
서다,0.020037099709527165
따다,0.019994871891382746
옛날,0.01986818843694949
굽다,0.01982596061880507
마지막,0.019804846709732857
직원,0.019804846709732857
궁금하다,0.01979286559552969
적다,0.019741504982516228
조합,0.01969927716437181
야장,0.019684113586763044
부드럽다,0.01963593543715518
참고,0.01963593543715518
