,구분,이름,브랜드,설명,가격,평점,하트
37,Best,프레데릭 말 윈로즈 30ml,프레데릭말,"야생화 기운을 받은 로즈, 그 치명적인 매력의 생장미 향기","195,000원",4.7,
38,Best,세르주루텐 상탈 마제스퀼 오 드 퍼퓸,세르주루텐,샌달 우드의 숨겨진 마스터피스- 샌달 나무의 하얀 속살을 인센스 향기가 감싸안는 신비로움,"174,500원",5.0,
39,Best,바이레도 1996 오 드 퍼퓸,바이레도,"인센스 연기가 자욱한 작업실 안, 바이올렛의 나른함을 풍기는 신비로운 예술가의 분위기를 담아낸 향기","193,500원",5.0,
40,Best,메종마르지엘라 레이지선데이 모닝 100ml,메종 마르지엘라,"편안한 침대에 누웠을 때, 이불 속으로 온 몸이 녹아들듯 느껴지는 편안함","145,000원",4.8,
41,Best,산타마리아노벨라 로사 가데니아 오 드 코롱 50ml,산타마리아노벨라,"연하고 여린 장미, 그 위로 투명하도록 지나가는 머스크가 완성하는 맑고 깨끗한 향기","102,000원",4.9,
42,Best,바이레도 블랑쉬 오 드 퍼퓸 50/100ml,바이레도,"바이레도 대표작, 기분까지 상큼해지는 산뜻한 비누","205,000원",4.8,
43,Best,딥디크 도손 오 드 퍼퓸 75ml,딥티크,"쌉싸름한 깨끗함에 바닐라를 섞은, 아이보리색 튜베로즈 향기","196,500원",4.8,
44,Best,산타마리아노벨라 멜로 그라노 오 드 코롱,산타마리아노벨라,"하얀 비누 거품을 가득 머금은 일랑일랑 꽃이 오크모스, 장미, 파츌리를 천천히 삼켜내는 포근함","103,500원",4.8,
45,Best,미스디올 블루밍부케 오 드 뚜왈렛 50ml,디올,"미스 디올 베스트셀러, 학생과 여인의 정체성 사이 화사하게 핀 피오니 향기","125,000원",4.8,
46,Best,세르주루텐 뉘드셀로판 오 드 퍼퓸,세르주루텐,"세르주루텐 베스트셀러, 샴푸 향기처럼 은은한 오스만투스가 마음을 홀리게 하는 상큼함","148,000원",4.9,
47,Best,톰포드 패뷸러스 오 드 퍼퓸 50ml,톰포드,"이성이 아닌 본성을 자극하는, 퇴폐미 가득한 섹시함","365,000원",4.9,
48,Best,디올 소바쥬 60ml,디올,"시크, 섹시 모든 것을 다 갖춘 남성의 정점에서 느껴지는 아우라","90,000원",4.8,
49,Best,불리 오 트리플 리켄 데코스 75ml,불리 1803,"비에 젖은 이끼 사이를 운행하는 상쾌한 바람, 그 깨끗한 자연의 향기","170,000원",4.9,
50,Best,톰포드 비터 피치 오 드 퍼퓸 50ml,톰포드,"보일 듯 말듯, 파츌리에 가려진 복숭아의 농익은 달콤함이 더욱 은밀하게 느껴지는 순간","288,000원",4.9,
51,Unisex,조말론 포피 앤 바알리 코롱,조말론,"보리수의 달콤함 위로 블랙커런트 이슬이 스며드는 양귀비, 한 폭의 낭만을 완성짓는 향기","83,800원",4.9,
52,Unisex,몽클레르 뿌르 옴므 오 드 퍼퓸,몽클레르,"사이프러스의 시원한 상록수잎과 시더우드가 만나 퍼지는, 겨울 한기를 품은 자연의 향기","110,000원",0.0,
53,Unisex,에르메스 르 자르뎅 드 무슈리 오 드 뚜왈렛,에르메스,"호숫가 젖은 돌 틈새로 퍼지는 이슬 맺힌 풀 내음, 그 사이에 아로새겨진 금귤의 상큼함","110,000원",0.0,
54,Unisex,아쿠아 디 파르마 미르토 디 파나레아 오 드 뚜왈렛,아쿠아 디 파르마,"청량한 비누향수의 대명사, 아쿠아 디 파르마 베스트셀러","73,000원",4.8,
55,Unisex,딥디크 오카피탈 오 드 퍼퓸 75ml,딥티크,"가시돋힌 장미의 줄기를 타고 흘러내리는 파츌리, 장미의 이면을 드러낸 독보적인 분위기의 향","191,800원",5.0,
56,Unisex,키에린 뉴욕 로즈 잉크 오 드 퍼퓸 스프레이,키에린 뉴욕,"시더우드와 샤프란 사이, 흩날리는 장미 꽃잎의 생경함","54,000원",0.0,
57,Unisex,키에린 뉴욕 샹탈 스카이 오 드 퍼퓸 스프레이,키에린 뉴욕,"샌달우드와 베티버가 선사하는, 자유로운 뉴요커의 하루 한 조각","54,000원",0.0,
58,Unisex,키에린 뉴욕 니트로 느와 오 드 퍼퓸 스프레이,키에린 뉴욕,"시프레와 구르몽이 초대하는, 향긋함이 감도는 뉴욕 도심의 풍경","145,000원",0.0,
59,Unisex,키에린 뉴욕 10am 플러트 오 드 퍼퓸 스프레이,키에린 뉴욕,"캐시미어 우드와 샌달우드가 전하는, 조화롭고 풍부한 뉴욕 도심 속 자연의 향취","145,000원",0.0,
60,Unisex,키에린 뉴욕 디스커버리 세트 4종 오 드 퍼퓸 스프레이,키에린 뉴욕,"뉴욕의 정취를 가득 담아, 키에린 뉴욕이 선보이는 4종 4색 향기 모음","45,000원",0.0,
61,Unisex,조말론 우드 세이지 앤 씨솔트 코롱,조말론,허브나무의 잔잔한 담백함이 모던하게 퍼지는 편안한 향기,"87,800원",4.8,
62,Unisex,조말론 블랙베리 앤 베이 코롱,조말론,유기농으로 키운 블랙베리의 건강한 맛을 그대로 재현한 베스트셀러,"83,800원",4.8,
63,Unisex,조말론 피그 앤 로터스 플라워 코롱,조말론,"단비가 그친 후, 흙과 무화과 잎이 함께 어우러져 한 폭의 풍경화가 되는 자연의 향기","87,800원",4.9,
64,Unisex,조말론 바질 앤 네롤리 코롱,조말론,"기분까지 상쾌해지는 그리너리한 바질, 조말론의 숨겨진 녹색 비누 향기","87,800원",4.8,
65,Unisex,조말론 154 코롱,조말론,"여유가 흐르는 런던의 베티버 나무, 만다린과 자몽의 산뜻함이 저절로 호감가게 만드는 남성의 정석","87,800원",5.0,
66,Unisex,조말론 라임 바질 앤 만다린 코롱,조말론,풋풋한 느낌의 라임과 바질이 어울린 깨끗하고 청량한 향기,"87,800원",4.8,
67,Unisex,톰포드 화이트 스웨이드 오 드 퍼퓸 50ml,톰포드,"한뼘 사이의 숨소리, 서로를 바라보는 눈빛의 기류를 닮은 머스크 향기","260,000원",4.9,
68,Unisex,조말론 다크 앰버 앤 진저 릴리 코롱 인텐스,조말론,"성별 무관, 시간을 느리게 흐르게 만드는 몽환적인 달콤함","185,000원",4.7,
69,Unisex,에르메스 보야지 데르메스 오 드 뚜왈렛,에르메스,"레몬과 홍차가 섞여 가을 낙엽이 떨어지는 듯, 우수에 젖은 분위기가 멋지게 연출된 가을 향기","145,000원",4.8,
70,Unisex,딥디크 오듀엘르 오 드 퍼퓸 75ml,딥티크,따뜻한 햇살이 내려앉는 마당의 흙과 나무 그리고 바닐라가 어우러진 아늑한 향기,"196,500원",5.0,
71,Unisex,디올 옴므 코롱,디올,포카리 스웨트처럼 청량하고 깔끔한 공용 향수,"102,500원",4.8,
72,Unisex,반클리프 앤 아펠 네롤리 아마라 오 드 퍼퓸,반클리프 앤 아펠,"티 없는 가을 하늘의 청량한 달콤함이 나리는, 네롤리와 잔잔한 우디가 선사하는 산뜻함","187,000원",5.0,
73,Unisex,딥디크 롬브로단로 오 드 퍼퓸 75ml,딥티크,"새벽이슬과 고고한 밀담을 나누는 로즈,블랙커런트의 쌀쌀함","196,500원",4.8,
74,Unisex,아쿠아 디 파르마 베르가못 디 칼라브리아 오 드 뚜왈렛,아쿠아 디 파르마,라벤더 정원에서 피어 있는 풋 사과에서 날것 같은 산뜻한 비누향기,"104,000원",4.8,
