,Date
6995,2021-12-31
6996,2021-12-31
6997,2021-12-31
6998,2021-12-31
6999,2021-12-31
7000,2021-12-31
7001,2021-12-31
7002,2021-12-31
7003,2021-12-31
7004,2021-12-31
7005,2021-12-31
7006,2021-12-31
7007,2021-12-31
7008,2021-12-31
7009,2021-12-31
7010,2021-12-31
7011,2021-12-31
7012,2021-12-31
7013,2021-12-31
7014,2021-12-30
7015,2021-12-30
7016,2021-12-30
7017,2021-12-30
7018,2021-12-30
7019,2021-12-30
7020,2021-12-30
7021,2021-12-30
7022,2021-12-30
7023,2021-12-30
7024,2021-12-30
7025,2021-12-30
7026,2021-12-30
7027,2021-12-30
7028,2021-12-30
7029,2021-12-30
7030,2021-12-30
7031,2021-12-30
7032,2021-12-30
7033,2021-12-30
7034,2021-12-30
7035,2021-12-30
7036,2021-12-30
7037,2021-12-30
7038,2021-12-30
7039,2021-12-30
7040,2021-12-30
7041,2021-12-30
7042,2021-12-30
7043,2021-12-30
7044,2021-12-30
7045,2021-12-30
7046,2021-12-30
7047,2021-12-30
7048,2021-12-30
7049,2021-12-29
7050,2021-12-29
7051,2021-12-29
7052,2021-12-29
7053,2021-12-29
7054,2021-12-29
7055,2021-12-29
7056,2021-12-29
7057,2021-12-29
7058,2021-12-29
7059,2021-12-29
7060,2021-12-29
7061,2021-12-29
7062,2021-12-29
7063,2021-12-29
7064,2021-12-29
7065,2021-12-29
7066,2021-12-29
7067,2021-12-29
7068,2021-12-29
7069,2021-12-29
7070,2021-12-29
7071,2021-12-29
7072,2021-12-29
7073,2021-12-29
7074,2021-12-29
7075,2021-12-29
7076,2021-12-29
7077,2021-12-29
7078,2021-12-29
7079,2021-12-29
7080,2021-12-29
7081,2021-12-29
7082,2021-12-29
7083,2021-12-29
7084,2021-12-28
7085,2021-12-28
7086,2021-12-28
7087,2021-12-28
7088,2021-12-28
7089,2021-12-28
7090,2021-12-28
7091,2021-12-28
7092,2021-12-28
7093,2021-12-28
7094,2021-12-28
7095,2021-12-28
7096,2021-12-28
7097,2021-12-28
7098,2021-12-28
7099,2021-12-28
7100,2021-12-28
7101,2021-12-28
7102,2021-12-28
7103,2021-12-28
7104,2021-12-28
7105,2021-12-28
7106,2021-12-28
7107,2021-12-28
7108,2021-12-28
7109,2021-12-28
7110,2021-12-28
7111,2021-12-28
7112,2021-12-28
7113,2021-12-28
7114,2021-12-28
7115,2021-12-28
7116,2021-12-28
7117,2021-12-28
7118,2021-12-28
7119,2021-12-28
7120,2021-12-28
7121,2021-12-28
7122,2021-12-28
7123,2021-12-28
7124,2021-12-28
7125,2021-12-27
7126,2021-12-27
7127,2021-12-27
7128,2021-12-27
7129,2021-12-27
7130,2021-12-27
7131,2021-12-27
7132,2021-12-27
7133,2021-12-27
7134,2021-12-27
