,,이름,브랜드,향 설명,가격,평점
Unisex,235,겔랑 아쿠아 알레고리아 베르가못 칼라브리아 오 드 뚜왈렛 125ml,겔랑,따뜻하게 달궈진 담벼락에 넝쿨진 베르가못의 아삭한 향기,"88,000원",4.9
Unisex,236,구찌 블룸 아쿠아 디 피오리 오 드 뚜왈렛 50ml,구찌,"푸릇한 정원이 주는 상큼함, 구찌 블룸의 신상","104,800원",4.8
Unisex,237,불리 오 트리쁠 목수 성 요셉 75ml,불리 1803,일렁이는 바닐라와 히노끼의 편백향이 나무기둥 사이로 천천히 스며드는 소프트-우디 향,"185,000원",5.0
Unisex,238,바이레도 선데이즈드 오 드 퍼퓸 50/100ml,바이레도,설탕을 버무린 오렌지맛 코튼캔디가 석양에 스르르 녹는향기,"191,750원",4.6
Unisex,239,바이레도 로즈 오브 노 맨즈 랜드 오 드 퍼퓸 50ml,바이레도,"바이레도가 그린 선명한 로즈, 라즈베리 이슬이 차가운 장미를 녹이며 깨어나는 싱그런 향기","198,500원",5.0
Unisex,240,메종 마르지엘라 레플리카 플라잉 100ml,메종 마르지엘라,네롤리와 오렌지로 석양을 만든 잔잔한 비누향기,"175,000원",4.6
Unisex,241,메종 마르지엘라 뮤직 페스티벌 100ml,메종 마르지엘라,"우드 소극장, 희뿌연 먼지 사이를 뚫고 강렬하게 퍼지는 가죽끈의 열정적인 바이브","145,000원",4.9
Men,0,조말론 포피 앤 바알리 코롱,조말론,"보리수의 달콤함 위로 블랙커런트 이슬이 스며드는 양귀비, 한 폭의 낭만을 완성짓는 향기","83,800원",4.9
Men,1,몽클레르 뿌르 옴므 오 드 퍼퓸,몽클레르,"사이프러스의 시원한 상록수잎과 시더우드가 만나 퍼지는, 겨울 한기를 품은 자연의 향기","110,000원",0.0
Men,2,아쿠아 디 파르마 미르토 디 파나레아 오 드 뚜왈렛,아쿠아 디 파르마,"청량한 비누향수의 대명사, 아쿠아 디 파르마 베스트셀러","73,000원",4.8
Men,3,메종 마르지엘라 커피 브레이크,메종 마르지엘라,"에스프레소 위로 하얀 선을 그리는 우유처럼, 한껏 편안하고 단정한 무드의 자상한 커피 향기","80,900원",5.0
Men,4,딥디크 오카피탈 오 드 퍼퓸 75ml,딥티크,"가시돋힌 장미의 줄기를 타고 흘러내리는 파츌리, 장미의 이면을 드러낸 독보적인 분위기의 향","191,800원",5.0
Men,5,키에린 뉴욕 로즈 잉크 오 드 퍼퓸 스프레이,키에린 뉴욕,"시더우드와 샤프란 사이, 흩날리는 장미 꽃잎의 생경함","54,000원",0.0
Men,6,키에린 뉴욕 샹탈 스카이 오 드 퍼퓸 스프레이,키에린 뉴욕,"샌달우드와 베티버가 선사하는, 자유로운 뉴요커의 하루 한 조각","54,000원",0.0
Men,7,키에린 뉴욕 니트로 느와 오 드 퍼퓸 스프레이,키에린 뉴욕,"시프레와 구르몽이 초대하는, 향긋함이 감도는 뉴욕 도심의 풍경","145,000원",0.0
Men,8,키에린 뉴욕 10am 플러트 오 드 퍼퓸 스프레이,키에린 뉴욕,"캐시미어 우드와 샌달우드가 전하는, 조화롭고 풍부한 뉴욕 도심 속 자연의 향취","145,000원",0.0
Men,9,크리드 어벤투스 오 드 퍼퓸,크리드,"남자다움의 끝, 전세계적인 베스트셀러","330,000원",4.8
Men,10,조말론 블랙베리 앤 베이 코롱,조말론,유기농으로 키운 블랙베리의 건강한 맛을 그대로 재현한 베스트셀러,"83,800원",4.8
Men,11,조말론 154 코롱,조말론,"여유가 흐르는 런던의 베티버 나무, 만다린과 자몽의 산뜻함이 저절로 호감가게 만드는 남성의 정석","87,800원",5.0
Men,12,조말론 다크 앰버 앤 진저 릴리 코롱 인텐스,조말론,"성별 무관, 시간을 느리게 흐르게 만드는 몽환적인 달콤함","185,000원",4.7
Men,13,에르메스 보야지 데르메스 오 드 뚜왈렛,에르메스,"레몬과 홍차가 섞여 가을 낙엽이 떨어지는 듯, 우수에 젖은 분위기가 멋지게 연출된 가을 향기","145,000원",4.8
Men,14,구찌 길티 뿌르옴므 오 드 뚜왈렛,구찌,"샤넬 알뤼르 옴므 스포츠와 뉘앙스가 비슷한 20, 30대 남자향수","90,000원",4.6
Men,15,디올 옴므 코롱,디올,포카리 스웨트처럼 청량하고 깔끔한 공용 향수,"102,500원",4.8
Men,16,반클리프 앤 아펠 네롤리 아마라 오 드 퍼퓸,반클리프 앤 아펠,"티 없는 가을 하늘의 청량한 달콤함이 나리는, 네롤리와 잔잔한 우디가 선사하는 산뜻함","187,000원",5.0
Men,17,아쿠아 디 파르마 치노또 디 리구리아 75/150ml,아쿠아 디 파르마,이태리 남부의 따스한 햇살같은 시트러스가 마음을 어루만지는 평온함,"83,800원",4.3
Men,18,샤넬 레조 드 파리 도빌 오 드 뚜왈렛 50ml,샤넬,"올여름, 가장 청량한 잔디에서 쉬는 듯한 편안함","124,000원",4.9
Men,19,샤넬 알뤼르 옴므 에디션 블랑쉐 오 드 퍼퓸 50ml,샤넬,잔향이 정말 좋아서 많은 여성분들이 물어보는 섹시한 남자향수,"122,500원",4.8
Men,20,샤넬 알뤼르 옴므 스포츠 코롱 50ml,샤넬,레몬 스프레이를 살짝 뿌린 새로산 하얀 와이셔츠,"102,500원",4.5
Men,21,샤넬 알뤼르 옴므 스포츠 오 드 뚜왈렛 50ml,샤넬,"샤넬 남자향수 전성기의 시초, 고급스러운 남성미","102,500원",4.8
Men,22,샤넬 플래티넘 에고이스트 뿌르옴므 오 드 뚜왈렛 50ml,샤넬,샤넬 남성향수중 가장 클래식한 매력을 갖고 있는 향수,"102,500원",4.6
Men,23,불가리 뿌르옴므 익스트림 오 드 뚜왈렛,불가리,"세련되고 모던한 분위기가 묻어 나오는 남성, 근처에 시원 - 쌉싸름하게 퍼지는 녹차 내음","135,000원",5.0
Men,24,불가리 뿌르옴므 오 드 뚜왈렛,불가리,"흰 와이셔츠 소매를 걷어 올린 순간, 맑게 우린 다즐링 티와 산뜻한 베티버의 컨템포러리한 향기","95,000원",4.9
Men,25,샤넬 블루 드 샤넬 오 드 퍼퓸 50ml,샤넬,짙은 네이비 슈트가 생각나는 남성의 향기,"117,500원",4.9
Men,26,샤넬 블루 드 샤넬 퍼퓸 빠르펭 NEW 50ml,샤넬,"18년신상, '블루 드 샤넬' 그 정체성의 끝","137,500원",4.7
Men,27,톰포드 만다리노 디 아말피 오 드 퍼퓸,톰포드,아말피산 만다린이 지중해 파도 거품으로 녹아드는 순간을 담은 싱그러움,"295,000원",0.0
Men,28,샤넬 블루 드 샤넬 퍼퓸 빠르펭,샤넬,"묵직한 수컷의 클래식함, 블루 드 샤넬","164,000원",4.9
Men,29,바이레도 우드이모텔 오 드 퍼퓸,바이레도,"챗베이커의 음악, 로즈우드 테이블과 위스키, 타바코 담배가 모여 한 편의 재즈를 연주하는 감각적인 향기","197,000원",4.7
Men,30,산타마리아노벨라 포푸리 오 드 코롱 100ml,산타마리아노벨라,"마르지 않은 땅 위 텐트를 친 야영, 다양한 나무냄새와 진한 허브가 아로마틱하게 퍼지는 밤","152,000원",5.0
Men,31,로에베 001 우먼 오 드 뚜왈렛 30/50ml,로에베,"로에베 특유의 서정적 우디 내음이 잘 표현된, 바닐라-코코넛의 분분한 낙화의 향기","72,000원",4.8
Men,32,조르지오 아르마니 아쿠아디지오 뿌르옴므 오 드 뚜왈렛,조르지오아르마니,"20년 베스트셀러, 프레쉬푸제르 계열 대표적인 남성향수","58,000원",4.6
Men,33,메종 마르지엘라 위스퍼 인 더 라이브러리,메종 마르지엘라,해리포터 도서관이 연상되는 웅장하고 부드러운 나무와 통카빈향기,"145,000원",4.7
Men,34,프라다 르옴므 오 드 뚜왈렛 50/100ml,프라다,지적이고 도시적인 남자의 수트 안단에 배여있을 법한 남성미,"94,500원",4.9
Men,35,메종 마르지엘라 마차 메디테이션,메종 마르지엘라,"동양적인 무드의 말차라떼, 그 달콤함이 오렌지 플라워에 차분히 스미는 정갈함","80,900원",5.0
Men,36,르페르소나 LP02 피콕 페더 오 드 퍼퓸,르페르소나,"바닷가 선베드에 누워 만끽하는 여름휴가, 타오르는 햇빛 사이로 산뜻하게 퍼지는 라임과 코코넛","104,000원",5.0
Men,37,르페르소나 LP04 골든 젬 오 드 퍼퓸,르페르소나,"잊을 수 없는 무도회의 한 장면, 달콤한 바닐라와 무화과가 깊은 인상을 남기고 유유히 사라지는 순간의 향기","104,000원",4.0
Men,38,르페르소나 LP03 우든 페이스 오 드 퍼퓸,르페르소나,"거칠고 각진 나무토막의 표면을 매끄럽고 둥글게 조각하듯, 마음까지 감싸 안아주는 산뜻하고 편안한 나무냄새","104,000원",4.5
Men,39,톰포드 로스트 체리 오 드 퍼퓸,톰포드,"몸을 한껏 달아오르게 하는 통카빈과 대단히 뇌쇄적인 체리, 이 밤을 더욱 길고 짙게 만드는 유혹","365,000원",5.0
Men,40,구찌 길티 블랙 뿌르옴므 오 드 뚜왈렛,구찌,여자들의 취향을 잘 이해할것 같은 세련되고 남자다운 향기,"90,000원",4.5
Men,41,퍼퓸 드 말리 레이튼 75/125ml,퍼퓸 드 말리,바닐라빈과 위스키를 닮은 커피 블렌딩의 섹시한 향연,"223,000원",4.9
Men,42,세르주루텐 상탈 마제스퀼 오 드 퍼퓸,세르주루텐,샌달 우드의 숨겨진 마스터피스- 샌달 나무의 하얀 속살을 인센스 향기가 감싸안는 신비로움,"174,500원",5.0
Men,43,바이레도 선데이 코롱 오 드 퍼퓸,바이레도,"센트럴파크 화단에 핀 제라늄과 베티버, 그 사이를 톡톡히 적시는 푸른 봄비의 베르가못","197,000원",5.0
Men,44,바이레도 어코드 우드 오 드 퍼퓸,바이레도,"느와르 식의 거칠고 섹시한, 스모키 오우드 향수의 끝판왕","197,000원",5.0
Men,45,바이레도 벨벳 헤이즈 오 드 퍼퓸,바이레도,"조용한 벤치, 으깨지는 코코넛을 바라보는 순간 깊은 감회에 잠기게 만드는 향기","197,000원",5.0
Men,46,바이레도 일레븐스 아워 오 드 퍼퓸,,"바이레도 한정판, 신비한 향신료와 술의 달큰함이 끼쳐오는 이국적인 오리엔탈풍 향기","197,000원",0.0
Men,47,메모 이탈리안 레더 오드퍼퓸 75ml,메모,그을린 바닐라와 스모키한 레더가 구겨진 영자 신문처럼 빈티지하게 연출된 향기,"263,000원",0.0
Men,48,조말론 인센스 앤 세드라 코롱 인텐스,조말론,"삭막한 초원에 단비가 그치고 난 뒤, 슴슴하게 올라오는 마른 풀들과 나무들의 아로마틱한 산뜻함","158,000원",4.0
Men,49,톰포드 베네시안 베르가못 오 드 퍼퓸,톰포드,"고급스러운 스웨이드 질감의 앰버가 야경으로 깔린 밤, 지적인 가드니아와 베르가못이 연출하는 도시의 밤 향기","305,000원",0.0
Men,50,톰포드 오드우드 오 드 퍼퓸 50ml,톰포드,"오우드의 성숙함을 극대화, 톰포드 클래식 섹시의 정수","265,000원",4.8
Men,51,에르메스 떼르 데르메스 오 드 뚜왈렛,에르메스,"묵직한 송진과 베티버가 어울린, 클래식하고 단단한 남성미","135,000원",4.8
Men,52,딥디크 로드네롤리 오 드 뚜왈렛 100ml,딥티크,밝은 햇살을 머금은 비터 오렌지가 싱그럽게 흔들리는 네롤리의 푸른 잎사귀에 스며드는 순간,"175,000원",5.0
Men,53,랄프로렌 폴로 블랙 오 드 뚜왈렛 40/75/125ml,랄프로렌,"망고 리큐르와 그린 어코드가 함께 짓눌려, 스킨처럼 어울린 상남자의 향","54,500원",5.0
Men,54,불리 오 트리쁠 포레드 코미 75ml,불리 1803,"겨울 끝무렵, 한기가 닿은 쌉싸래한 풀내음이 가득 담긴 숲의 향기","170,000원",0.0
Men,55,크리드 밀레지움 임페리얼 오 드 퍼퓸,크리드,바다소금 향기가 고급스럽게 얽혀 귀족이 연상되는 향기,"305,000원",4.4
Men,56,에르메스 떼르 데르메스 오 인텐스 베티버 오 드 퍼퓸,에르메스,석양이 지는 광야가 연상되는 생명력 넘치는 레몬과 베티버 향기,"105,000원",4.8
Men,57,메모 케두 오드퍼퓸 75ml,메모,노곤하고 따뜻한 들깨가루 오일의 깊고 에센셜한 향기,"263,000원",5.0
Men,58,더 디퍼런트 컴퍼니 수블림 발키스 오 드 퍼퓸,더 디퍼런트 컴퍼니,비오는날 정원의 흙바닥에서 고고하게 있는 생장미와 블랙커런트의 향기,"168,000원",4.6
Men,59,메모 오리엔탈 레더 오 드 퍼퓸 75ml,메모,"라벤더 빛 물안개, 흔들리는 바람에 피어난 장미 뒤로 밤하늘을 가득 수놓는 파츌리의 수수한 내음","263,000원",5.0
Men,60,불리 오 트리쁠 베르켄 오렌지 블라썸 75ml,불리 1803,"갓 따낸 오렌지 나무 잎사귀에 레몬즙을 뿌린듯, 무더운 여름날 단비 같이 싱그런 오렌지 꽃망울","170,000원",0.0
Men,61,오리베 데저트랜드 오 드 퍼퓸 75ml,오리베,"소나무의 청량함이 건조하게 피어나는 곳, 사막. 그 담담함에 대한 향기","128,870원",0.0
Men,62,장 폴 고티에 르보 오 드 뚜왈렛 75/125ml,장 폴 고티에,그냥 상남자 자체인 코코넛 베이스의 남자스킨 향기,"80,800원",4.8
Men,63,메종 마르지엘라 앳더바버,메종 마르지엘라,잘 마른 면도날에 남자향기가 나는 쉐이빙폼을 얹은 듯한 산뜻한 향기,"80,900원",5.0
Men,64,디올 화렌화이트 오 드 뚜왈렛 50/100ml,디올,"세월을 거듭난 명작, 그 명성에 걸맞는 섹시한 남자의 앰버 향기","155,000원",4.8
Men,65,톰포드 블랙 오키드 오 드 퍼퓸 50ml,톰포드,"톰포드 베스트셀러, 럼에 담긴 플럼의 다크한 보랏빛이 연출하는 퇴폐적인 관능미","160,000원",4.9
Men,66,킬리안 인톡시케이티드 오 드 퍼퓸,킬리안,"에스프레소의 쌉싸름함과 매콤한 시나몬, 설명할 수 없을 정도로 중독적인 남자의 주변에 퍼져있는 향기","275,000원",5.0
Men,67,에르메스 운 자르뎅 아프레 라 무쏭 오 드 뚜왈렛,에르메스,"갑자기 내린 여우비에, 촉촉한 꽃내음과 물내음 섞인 메론향기가 피어났던 한적한 프랑스 정원","145,000원",0.0
Men,68,랄프로렌 폴로 스포츠 오 드 뚜왈렛 75/125ml,랄프로렌,"공부까지 잘하는 교내 인기쟁이 형이 운동 후, 찬물로 등목하는 스킨 향기","59,000원",5.0
Men,69,구찌 알케미스트 가든 문라이트 세레나데 오 드 퍼퓸 150ml,구찌,"시원한 라벤더 바람과 함께 내 귓등을 타고 흐르는 청량함, 세이지와 라벤더의 여름날 향기","289,000원",0.0
Men,70,펜할리곤스 베스트셀러 디스커버리 세트,펜할리곤스,펜할리곤스 베스트 & 스테디셀러 10종으로 구성된 디스커버리 패키지,"49,000원",5.0
Men,71,오리베 프래그런스 디스커버리 세트,오리베,"청량하게 부서지는 넓은 확산력, 오리베를 경험하기 좋은 3종 디스커버리 세트","29,700원",5.0
Men,72,아쿠아 디 파르마 콜로니아 에센자 오 드 코롱 50ml,아쿠아 디 파르마,"클래식함과 모던함이 공존하는, 뿌옇고 품격있는 비누향기","108,000원",4.8
Men,73,구찌 알케미스트 가든 어 윈터 멜로디 사이프러스 센티드 워터 150ml,구찌,"서늘한 겨울 공기가 하얀 입김으로 되돌아가는 풍경, 그곳을 에워싸는 눈 덮인 초겨울의 숲 향기","289,000원",5.0
Men,74,아틀리에 코롱 클레망틴 캘리포니아 30ml,아틀리에 코롱,"소다 밀키스를 마시는 상큼함, 아틀리에의 베스트셀러","72,000원",4.8
Men,75,메종마르지엘라 언더 더 레몬트리,메종 마르지엘라,레몬향 진토닉으로 천천히 취해가는 것 같은 노곤한 향기,"80,900원",5.0
Men,76,에트로 라자스탄 오 드 퍼퓸 100ml,에트로,"자유를 찾아 유랑하는 집시,보헤미안 스타일의 묵직한 앰버와 미모사 그리고 머스크의 폭닥한 향기","135,200원",0.0
Men,77,에트로 맨로즈 오 드 퍼퓸 100ml,에트로,"트렌디하고 세련된 분위기를 자아내는 베티버와 제라늄, 그 독보적 분위기","135,000원",4.9
Men,78,크리드 로얄워터 오 드 퍼퓸,크리드,"레몬과 바질의 깔끔함이 늘 잘 먹히는, 누구나 좋아할 법한 군더더기 없는 남성미","305,000원",4.9
Men,79,에르메스 떼르 데르메스 퓨어 퍼퓸,에르메스,묵직한 송진과 나무가 어울려 클래식하고 단단한 남성미 연출,"145,000원",4.4
Men,80,에르메스 오 도랑쥬 베르트 오 드 코롱,에르메스,"나른함 가득한 늦은 오후, 커튼 사이로 들어오는 햇살을 타고 흐르는 오렌지와 레몬의 상큼함","105,000원",0.0
Men,81,에르메스 오 드 시트론 느와 오 드 코롱,에르메스,"에르메스식 남성의 관능미, 아슬아슬한 경게 사이를 넘나드는 시트러스 - 스모키의 정석","105,000원",5.0
Men,82,몽클레르 뿌르 팜므 오 드 퍼퓸,몽클레르,"포근함이 느껴지는 함박눈 위로, 달콤한 바날리색 연유 라떼가 가볍게 녹아들며 남기는 자취","110,000원",5.0
Men,83,나소마토 블랙 아프가노 엑스트레 퍼퓸 30ml,나소마토,"안개낀 고요한 숲속, 마른나무의 깊이감보다 짙은 관능의 머스크 내음","245,500원",5.0
Men,84,나소마토 블라마주 엑스트레 퍼퓸 30ml,나소마토,"결이 질긴 가죽을 자작나무에 엮어 불을 붙였을 때, 올라오는 짙은 연기가 거칠게 퍼지는 향기","245,500원",0.0
Men,85,나소마토 바라온다 엑스트레 퍼퓸 30ml,나소마토,"달콤한 스카치 캔디를 문 채 한 모금 삼키는 위스키와 재즈의 선율의 어울린, 완벽한 무드","245,500원",0.0
Men,86,프라고나르 상탈 오 드 뚜왈렛 100/200ml,프라고나르,"상탈을 사포질해, 사랑과 정성이 담겨 비누처럼 편안해진 우디 향기","71,500원",4.9
Men,87,존바바토스 아티산 퓨어 오 드 뚜왈렛 75/125ml,존바바토스,건강한 눈빛과 우월한 기럭지가 연상되는 시트러스 우디,"39,540원",4.9
Men,88,크리드 바이킹 50/100ml,크리드,"듬직한 품 속 장미꽃을 건넬만큼, 덩칫값은 못해도 그런 순수함이 매력인 남자","252,000원",4.5
Men,89,크리드 어벤투스 코롱 50ml,크리드,"자작나무향을 잔뜩 머금은 스킨처럼 별거 안 한게 더 멋있는, 남자 캐주얼의 정석","310,000원",4.9
Men,90,클린 클래식 웜코튼 오 드 퍼퓸 30/60ml,클린 리저브,전방 100m 밖까지 닿는 새하안 비누 향기에 마음까지 산뜻해지는 깨끗한 향기,"38,000원",4.8
Men,91,케네스콜 블랙 오 드 뚜왈렛 30/100ml,케네스콜,캠퍼스 모델같은 시크한듯 자상한 남사친 향수의정석,"35,000원",4.8
Men,92,트루사르디 - 르비드 밀라노 비하인드 커튼 스칼라 오 드 퍼퓸 100ml,트루사르디 르비드 밀라노,막내린 극장에서 연습하는 배우의 열정 가득한 클로브 레더,"238,000원",0.0
Men,93,퍼퓸 드 말리 페가수스 75/125ml,퍼퓸 드 말리,거리를 바짝 당기고 싶을 만큼 매력적인 남자의 스킨-우디 향기,"215,000원",4.8
Men,94,퍼퓸드말리 칼라일 125ml,퍼퓸 드 말리,"풍미가 가득한 크리미한 우유에 화이트초콜릿, 샌달우드가 올려진 따스함","370,000원",4.3
Men,95,퍼퓸드말리 갤러웨이 75/125ml,퍼퓸 드 말리,"퍼퓸 드 말리, 남성향수 갤러웨이","245,000원",5.0
Men,96,퍼퓸드말리 헤로드 75/125ml,퍼퓸 드 말리,"걸음걸이, 눈빛, 매너까지 달콤한 통카빈과 바닐라의 지적인 자상함","255,000원",4.8
Men,97,퍼퓸 드 말리 칼란 75ml,퍼퓸 드 말리,"자유로운 재즈 바 속 쌉싸름한 후추와 통카빈, 당신에게 선사하는 주황빛 낭만의 향","215,000원",0.0
Men,98,입생로랑 라 뉘 드 옴므 60/100ml,입생로랑,"입생로랑의 대표 히트작, 은은하게 스며드는 남자다움","118,000원",4.3
Men,99,에르메스 H24 오 드 뚜왈렛 50/100ml,에르메스,"에르메스 남자향수의 새로운 역사, 5월의 산뜻함이 잔뜩 배인 비누계열 스클라렌 향기","85,000원",4.9
Men,100,알마프 클럽 드 뉘 인텐스 오 드 뚜왈렛 105/200ml,알마프,"어벤투스 클론, 그럼에도 기분 좋은 상큼함은 더욱 살린 캐주얼 향수","45,000원",4.7
Men,101,아이젠버그 조즈 옴므 30/50/100ml,아이젠버그,따뜻한 아메리카노처럼 상대의 마음을 잔잔히 녹아들게 하는 달콤함,"65,200원",4.8
Men,102,아이젠버그 디아볼리끄 옴므 30/50/100ml,아이젠버그,"나쁜 게 확실한데, 도저히 미워할래야 미워할 수 없는 매력","65,200원",4.8
Men,103,아베크롬비앤피치 피어스 맨 오 드 코롱 50/100/200ml,아베크롬비,아베크롬비 본사를 대표하는 시그니쳐 남자향수,"98,000원",4.7
Men,104,아틀리에 코롱 포멜로 파라디 30ml,아틀리에 코롱,생 자몽 하나를 그대로 갈아낸 듯한 싱싱함,"72,000원",4.7
Men,105,세르주루텐 앰버 술탄 오 드 퍼퓸,세르주루텐,"인센스 향초가 가득한 페르시아 상점 속, 주황빛 앰버 보석이 홀로 빛나는 신비스러운 향기","174,500원",5.0
Men,106,세르주루텐 파이브 어 클락 오 진저 오 드 퍼퓸,세르주루텐,"영국 신사와 갖는 티타임, 그의 매너를 닮은 산뜻 달콤한 우디- 진저 티 한잔","174,500원",5.0
Men,107,사랑해요 #98 밋 조플린 오 드 퍼퓸 100ml,사랑해요,"뒷골목 재즈 바 감성을 닮아, 느린 템포 속 다채롭고 풍성하게 흐르는 바닐라 향기","123,000원",5.0
Men,108,사랑해요 #70 베스팅 데이 오 드 퍼퓸 100ml,사랑해요,"내 몸보다 더 나같은, 신사답게 꼭 맞아 떨어지는 베티버 향기","123,000원",5.0
Men,109,사랑해요 #61 빌리브 인 캐피탈리즘 오 드 퍼퓸 100ml,사랑해요,"자본주의의 환희와 절정, 그 양면성을 담은 라즈베리 - 레더 향기","123,000원",0.0
Men,110,사랑해요 #71 시리즈 에이 오 드 퍼퓸 100ml,사랑해요,"타고난 사업가, 그 모험에서 오는 쾌감을 즐길 줄 아는 남자의 향기","123,000원",5.0
Men,111,빅터앤롤프 스파이스밤 오 드 뚜왈렛 90ml,빅터앤롤프,해외에서 샤넬향수만큼 인기많은 섹시한 상남자 향수,"135,000원",4.8
Men,112,불리 오 트리쁠 알 카시르 75ml,불리 1803,"살짝 힘을 뺀 바닐라와 고소한 샌달우드, 느슨한 듯 여유로운 우디 내음","170,000원",0.0
Men,113,롤리타 렘피카 옴므 오 드 뚜왈렛 50/100ml,롤리타렘피카,부드러운 나뭇조각에 살며시 배인 바닐라가 만드는 센슈얼함,"39,500원",4.9
Men,114,롤리타 렘피카 그린러버 오 드 뚜왈렛 50/100ml,롤리타렘피카,"단언컨대, 메종 재즈클럽만큼 분위기있는 주니퍼베리 진과 옆에 놓인 바닐라 한 조각","54,000원",5.0
Men,115,로이비 로터스 앤 인센스 오 드 퍼퓸 50ml,로이비,"로이비의 중성 향수 베스트셀러, 푸르스름한 안개비를 들이마신 연꽃의 향기","98,100원",5.0
Men,116,로이비 만다린 앤 샌달우드 오 드 퍼퓸 50ml,로이비,"마음 한 켠에 쌓아둔 유년시절, 그 시기를 닮은 민트 잎의 옅은 풀물과 자몽의 쌉싸름함","98,100원",5.0
Men,117,로이비 휘그 앤 시더우드 오 드 퍼퓸 50ml,로이비,"진중한 숲의 향기를 머금은 무화과, 그 하얀 달콤함이 경쾌하게 피어나는 포레스트","98,100원",4.7
Men,118,랄프로렌 폴로 레드 오 드 뚜왈렛 40/75/125ml,랄프로렌,"타고난 인싸력, 그 끼를 주체할 수 없는 익살스러운 남자의 향기","54,500원",5.0
Men,119,랄프로렌 폴로 오 드 뚜왈렛 59/118ml,랄프로렌,"진중한 부드러움, 폴로의 전설이자 정체성 그 자체의 향기","71,500원",4.8
Men,120,랄프로렌 폴로 블루 맨 오 드 뚜왈렛 40/75/125ml,랄프로렌,"막 씻은 뒤 비누,스킨 향기가 어우러져 스킨-살내음을 연출하는 쾌남의 향","54,500원",4.7
Men,121,프라다 루나로사 오 드 뚜왈렛 50/100ml,프라다,강가의 수분감이 섞인 산뜻한 비누향,"86,000원",4.7
Men,122,프라다 레스 인퓨전 디 아이리스 세더 오 드 퍼퓸 100ml,프라다,도브비누 10개를 응축시켜 흩뿌린 듯한 편안하고 고급스러운 프라다 남자향수,"184,000원",4.8
Men,123,프라다 루나로사 블랙 오 드 퍼퓸 50/100ml,프라다,"겉은 강해도 속은 한없이 순한 남자, 이상적인 남자의 매력","94,000원",4.5
Men,124,프라다 루나로사 카본 오 드 뚜왈렛 50/100/150ml,프라다,지적이고 도시적인 느낌이 가득한 남성의 수트에서 풍기는 향기,"86,000원",4.8
Men,125,데렉 램 10 크로스비 레인데이 오 드 퍼퓸 10/50/100ml,데렉 램 10 크로스비,"비온 뒤, 솔잎이 덕지덕지 붙은 나무판자를 찌걱찌걱 밟을 때의 분위기","33,300원",4.0
Men,126,누NOU 올리반 오 드 뚜왈렛 50ml,누NOU,솔나무와 송진이 배인 옷깃에 순수한 마음까지 갖춘 올곧은 감수성의 남자향기,"42,000원",5.0
Men,127,누NOU 에이버리 오 드 뚜왈렛 50ml,누NOU,센스있는 남자의 부드러운 우디-시트러스풍 깔끔함,"42,000원",5.0
Men,128,누NOU 우디 오 드 뚜왈렛 50ml,누NOU,센스있는 남자의 부드러운 우디-시트러스풍 깔끔함,"42,000원",3.0
Men,129,프로소디 런던 모카 무스카리 오 드 퍼퓸 50ml,프로소디 런던,야생 주니퍼베리와 베티버에서 느껴지는 듬직함에 깊은 책임감을 느끼게 되는 향기,"134,000원",5.0
Men,130,프로소디 런던 우드 옥타브 오 드 퍼퓸 50ml,프로소디 런던,"파피루스 나무 사이를 헤쳐 나갈 때, 옷깃에 배인 나무 내음이 문득 편안해지던 순간","134,000원",0.0
Men,131,프로소디 런던 랜턴 리드 오 드 퍼퓸 50ml,프로소디 런던,손 안의 작은 랜턴 불의 열기가 베티버 기둥에 닿아 따스한 온기를 느끼게 하는 자연의 향기,"134,000원",5.0
Men,132,나르시소 로드리게즈 포 힘 블루 느와르 50/100ml,나르시소 로드리게즈,"짙은 네이비 정장이 잘 어울리는 남자, 부드러운 묵직함","44,800원",4.8
Men,133,프로소디 런던 피치카토 블리스 오 드 코롱 30ml,프로소디 런던,"넓은 초원을 맨발로 내달리는 용기, 풀의 시원한 쌉싸름함에 다시금 힘을 얻게 되는 순간","70,500원",0.0
Men,134,버버리 런던 포 맨 오 드 뚜왈렛 30/50/100ml,버버리,"쌀쌀한 가을 바람 속, 패션 센스와 마음까지 착한 남자","40,000원",5.0
Men,135,SWG컬렉션 오드더티 50ml,SWG Collection,"푸릇한 소나무와 파츌리가 가볍고 또 시원하게, 여름에도 뿌리기 좋은 청량함","88,200원",4.0
Men,136,SWG컬렉션 파인보일 50ml,SWG Collection,"일렁이는 바다 위로 드리워진 파란 소나무와 만다린의 산뜻함, 휴양지의 향기","88,200원",3.0
Men,137,SWG컬렉션 팜스웨이드 50ml,SWG Collection,처음부터 끝까지 포근한 스웨이드 질감을 유지하는 샌달우드와 레몬. 데일리로 쓰기 좋은 비누 내음,"88,200원",4.5
Men,138,바이레도 1996 오 드 퍼퓸,바이레도,"인센스 연기가 자욱한 작업실 안, 바이올렛의 나른함을 풍기는 신비로운 예술가의 분위기를 담아낸 향기","193,500원",5.0
Men,139,메종 프란시스 커정 아쿠아 유니버셜 오 드 뚜왈렛 70ml,메종프란시스 커정,어디서 상큼한 향기난다! 할 정도로 청아하고 날카로운 공용 향수,"220,000원",4.8
