,,이름,브랜드,향 설명,가격,평점
Unisex,39,르페르소나 LP02 피콕 페더 오 드 퍼퓸,르페르소나,"바닷가 선베드에 누워 만끽하는 여름휴가, 타오르는 햇빛 사이로 산뜻하게 퍼지는 라임과 코코넛","104,000원",5.0
Unisex,40,르페르소나 LP04 골든 젬 오 드 퍼퓸,르페르소나,"잊을 수 없는 무도회의 한 장면, 달콤한 바닐라와 무화과가 깊은 인상을 남기고 유유히 사라지는 순간의 향기","104,000원",4.0
Unisex,41,르페르소나 LP03 우든 페이스 오 드 퍼퓸,르페르소나,"거칠고 각진 나무토막의 표면을 매끄럽고 둥글게 조각하듯, 마음까지 감싸 안아주는 산뜻하고 편안한 나무냄새","104,000원",4.5
Unisex,42,톰포드 로스트 체리 오 드 퍼퓸,톰포드,"몸을 한껏 달아오르게 하는 통카빈과 대단히 뇌쇄적인 체리, 이 밤을 더욱 길고 짙게 만드는 유혹","365,000원",5.0
Unisex,43,프라고나르 에뚜알 30-200ml,프라고나르,"미세먼지 없이, 날씨까지 완벽한 주말처럼 상쾌한 달콤함이 가득한 풋사과 정원의 향기","71,500원",4.9
Unisex,44,세르주루텐 상탈 마제스퀼 오 드 퍼퓸,세르주루텐,샌달 우드의 숨겨진 마스터피스- 샌달 나무의 하얀 속살을 인센스 향기가 감싸안는 신비로움,"174,500원",5.0
Unisex,45,바이레도 벨벳 헤이즈 오 드 퍼퓸,바이레도,"조용한 벤치, 으깨지는 코코넛을 바라보는 순간 깊은 감회에 잠기게 만드는 향기","197,000원",5.0
Unisex,46,바이레도 일레븐스 아워 오 드 퍼퓸,,"바이레도 한정판, 신비한 향신료와 술의 달큰함이 끼쳐오는 이국적인 오리엔탈풍 향기","197,000원",0.0
Unisex,47,프로소디 런던 리솜 린든 오 드 퍼퓸 50ml,프로소디 런던,호수에 뛰어든 멜론의 달콤함이 연두빛 물안개를 피워내는 상큼함,"134,000원",5.0
Unisex,48,조말론 오렌지 블로썸 코롱,조말론,영국시골 오렌지 농장에서 이슬을 맞은채 굴러다니는 오렌지 껍질향기,"81,800원",4.8
Unisex,49,조말론 인센스 앤 세드라 코롱 인텐스,조말론,"삭막한 초원에 단비가 그치고 난 뒤, 슴슴하게 올라오는 마른 풀들과 나무들의 아로마틱한 산뜻함","158,000원",4.0
Unisex,50,톰포드 베네시안 베르가못 오 드 퍼퓸,톰포드,"고급스러운 스웨이드 질감의 앰버가 야경으로 깔린 밤, 지적인 가드니아와 베르가못이 연출하는 도시의 밤 향기","305,000원",0.0
Unisex,51,르라보 상탈 33 오 드 퍼퓸 50ml,르라보,짙은 고동나무와 푸릇한 파피루스가 울창하게 심어져 있는 오스트레일리아의 숲속,"220,000원",4.9
Unisex,52,르라보 어나더 13 오 드 퍼퓸 50ml,르라보,바닐라와 동물적인 암브레트 씨드에서 주는 우디한 살내음,"220,000원",5.0
Unisex,53,딥디크 오듀엘르 오 드 뚜왈렛 50/100ml,딥티크,따뜻한 햇살이 내려앉는 마당의 흙과 나무 그리고 바닐라가 어우러진 아늑한 향기,"128,000원",4.8
Unisex,54,딥디크 로드네롤리 오 드 뚜왈렛 100ml,딥티크,밝은 햇살을 머금은 비터 오렌지가 싱그럽게 흔들리는 네롤리의 푸른 잎사귀에 스며드는 순간,"175,000원",5.0
Unisex,55,불리 오 트리쁠 포레드 코미 75ml,불리 1803,"겨울 끝무렵, 한기가 닿은 쌉싸래한 풀내음이 가득 담긴 숲의 향기","170,000원",0.0
Unisex,56,프라고나르 플러도랑지,프라고나르,"오후 6시의 석양이 오렌지 꽃에 닿았을 때, 딱 그 온기만큼 편안하게 퍼지는 자연의 향기","71,500원",5.0
Unisex,57,아쿠아 디 파르마 아란치아 디 카프리 오 드 뚜왈렛,아쿠아 디 파르마,지중해 햇살에 산뜻함을 터트린 천혜향을 닮은 오렌지 비누향기,"58,000원",4.9
Unisex,58,아쿠아 디 파르마 피코 디 아말피 오 드 뚜왈렛,아쿠아 디 파르마,이탈리아 포지타노의 청량함이 연상되는 깨끗하고 청정한 무화과의 아삭함,"65,000원",4.9
