품목별,항목,단위,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월
총액,수출액[천달러],천달러,43103061,40911819,46167204,36270183,34854511,39214071,42785144,39469231,47819948,44818534,45751883,51332449,48006974,44706907,53690914,51225991,50725161,54778905,55461518,53165104,55913862,55660373,60330542,60734117,55460865,54154313,63785078,57849157,61579891,57625856
총액,수입액[천달러],천달러,42718100,36977247,41803860,37932611,34661974,35794860,38849185,35817929,39400190,39093795,39944763,44638246,44456822,42404636,49742555,50891152,47910522,50429027,53676256,51581093,51636341,53847824,57357549,61159671,60363481,53133762,63593038,60326206,63194249,60200435
식품 및 산동물,수출액[천달러],천달러,464273,468124,545261,545869,460918,531000,542869,488529,549811,554894,610933,651441,530373,489096,664398,640420,576571,595617,624236,599838,602458,690808,744879,786504,626650,611226,714919,724140,710015,662101
식품 및 산동물,수입액[천달러],천달러,2627428,2005395,2262352,2304002,2379665,2301011,2413044,2064751,2336115,2254470,2212784,2393576,2656845,2107335,2790457,2689624,2759388,2718457,2711897,2645404,2641506,2754248,3021359,3096336,3038687,2623332,3376922,3248464,3261850,2977361
중분류 03의 동물을 제외한 산 동물,수출액[천달러],천달러,190,398,181,120,195,387,443,374,465,593,547,703,550,887,680,796,778,874,616,528,587,711,827,615,612,530,775,548,729,590
중분류 03의 동물을 제외한 산 동물,수입액[천달러],천달러,4336,2828,8213,5815,6375,5098,4423,6648,6003,7112,6196,6491,4480,2462,7714,6084,4251,5430,5152,5484,5212,5373,7097,8733,4801,4042,7487,3901,4406,5693
중분류 03의 동물을 제외한 산 동물,수출액[천달러],천달러,190,398,181,120,195,387,443,374,465,593,547,703,550,887,680,796,778,874,616,528,587,711,827,615,612,530,775,548,729,590
중분류 03의 동물을 제외한 산 동물,수입액[천달러],천달러,4336,2828,8213,5815,6375,5098,4423,6648,6003,7112,6196,6491,4480,2462,7714,6084,4251,5430,5152,5484,5212,5373,7097,8733,4801,4042,7487,3901,4406,5693
고기및 고기 조제품,수출액[천달러],천달러,8896,8376,6904,10235,9857,11569,9919,9348,9910,9320,10814,11804,8438,7339,8907,10422,9354,9931,9409,9952,10894,14086,12282,13429,6764,6579,8828,9392,7376,6494
고기및 고기 조제품,수입액[천달러],천달러,605427,368586,439234,429653,475491,374496,450675,423398,455591,422843,397095,376554,572533,397571,516114,476022,519447,535609,519353,577310,558098,570510,585828,479541,775192,537704,660346,626635,656592,614201
"쇠고기,신선,냉장 또는 냉동한 것",수출액[천달러],천달러,202,151,328,207,195,312,234,141,437,134,436,398,295,139,323,365,187,94,296,217,197,244,284,414,114,129,221,275,378,438
"쇠고기,신선,냉장 또는 냉동한 것",수입액[천달러],천달러,381680,193521,236296,237725,250466,201347,228761,240824,271127,242033,226020,186245,377914,210018,276113,256932,297960,308472,266444,328405,319273,329134,349642,239689,489265,294779,356812,338931,376874,344658
"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수출액[천달러],천달러,6200,5228,2834,5226,5245,5573,5999,4128,4336,4395,4502,5533,3926,1946,3091,4195,3672,3650,2869,3893,4818,6122,4890,5476,1373,1780,1911,2033,1702,1293
"기타 고기 및 식용 설육,신선,냉장 또는 냉동한 것",수입액[천달러],천달러,194712,152072,184019,167192,200789,149202,197524,162708,160278,158362,145449,162902,174529,165095,212898,195130,194929,200469,230154,226072,215721,215466,209663,212449,261833,220335,277949,258172,252783,243153
"고기 및 실용석육,염장,염수장,건조 또는 훈제한 것",수출액[천달러],천달러,1,16,6,7,125,125,1,17,15,5,62,13,105,2,32,49,114,155,1,3,2,6,5,3,1,1,0,1,1,2
"고기 및 실용석육,염장,염수장,건조 또는 훈제한 것",수입액[천달러],천달러,1377,1349,1058,1083,1663,1263,1618,1714,1669,1347,1830,2128,1096,1798,1646,1851,1982,2313,1771,1104,1829,2833,2029,2526,1667,2024,1653,2665,2319,2270
달리 명시되지 않은 조제 또는 저장한 고기 및 설육,수출액[천달러],천달러,2493,2980,3736,4796,4292,5558,3685,5063,5121,4787,5814,5860,4112,5252,5462,5812,5381,6031,6244,5838,5876,7713,7104,7537,5276,4669,6696,7083,5296,4761
달리 명시되지 않은 조제 또는 저장한 고기 및 설육,수입액[천달러],천달러,27658,21643,17861,23653,22574,22684,22772,18152,22517,21102,23796,25279,18994,20660,25456,22108,24576,24355,20985,21729,21275,23077,24493,24878,22427,20567,23932,26866,24616,24121
낙농품 및 새알,수출액[천달러],천달러,7733,9528,10646,14579,11866,12740,11634,10531,9761,9616,9116,7758,9553,10176,13918,15715,11948,10943,11200,10322,9130,10199,9847,10335,9764,13511,16157,15125,14927,11119
낙농품 및 새알,수입액[천달러],천달러,89144,96847,86216,99868,98887,85557,123064,92582,93573,90510,89172,82906,105102,106165,115515,116663,121188,114708,140191,128671,110812,114996,115818,119319,110971,109904,125844,153547,130521,136209
우유.크림 및 우유생산품(버터 및 치이즈 제외),수출액[천달러],천달러,7523,9214,10101,13331,10778,11721,10713,9554,8617,8772,8291,7218,8785,9670,13068,14559,11518,10374,10467,9528,8343,9336,8658,9150,9130,12585,15272,14034,13911,10305
우유.크림 및 우유생산품(버터 및 치이즈 제외),수입액[천달러],천달러,29197,29157,29458,31052,35107,29248,48224,32559,32844,31844,32348,28269,34305,29349,31754,38043,38626,34070,50115,38643,38830,36977,39064,41121,39357,37297,45354,55277,47025,54795
밀크에서 얻어진 버터 및 기타의 지와 유,수출액[천달러],천달러,0,36,1,76,80,19,13,57,28,70,34,110,7,6,9,16,3,18,5,9,8,4,14,7,43,,3,0,2,1
밀크에서 얻어진 버터 및 기타의 지와 유,수입액[천달러],천달러,6883,8235,7484,9972,7121,4021,11266,5943,6478,7852,6555,7114,10341,8772,12811,11400,10502,9886,11747,13444,12143,13630,14458,15644,13932,12114,16357,24238,19079,18349
치즈와 커드,수출액[천달러],천달러,152,138,387,394,440,462,571,745,971,611,706,366,702,498,831,1116,427,550,727,784,780,788,1175,1115,513,889,811,961,962,782
치즈와 커드,수입액[천달러],천달러,50909,57883,47304,57423,55025,50445,61397,52550,52808,49003,48736,45740,58266,59226,62320,58490,58040,54552,63053,58104,44106,54709,58447,56102,55501,58158,60289,69999,62150,59172
"새알 및 난황,신선,건조",수출액[천달러],천달러,58,139,156,778,568,537,337,174,145,162,85,63,58,3,9,24,1,1,2,1,0,71,0,64,78,37,71,129,52,31
"새알 및 난황,신선,건조",수입액[천달러],천달러,2155,1573,1970,1421,1634,1843,2177,1530,1443,1810,1534,1784,2190,8818,8630,8730,14020,16199,15276,18479,15734,9681,3848,6453,2181,2334,3844,4033,2268,3893
"물고기,갑각류,연체동물 및 수생무척추동물",수출액[천달러],천달러,156670,132829,174565,162220,130412,169127,167403,151393,150490,180216,187974,206312,136750,140629,210071,205303,179792,195644,228890,200090,189426,240270,257370,276245,209781,220291,250517,296126,256828,257274
"물고기,갑각류,연체동물 및 수생무척추동물",수입액[천달러],천달러,548094,366869,365874,382021,433553,424154,429819,407139,452826,435802,492672,528874,487331,376424,486533,452437,444671,457509,434764,431686,438797,486358,599354,645062,477024,421637,560536,555733,519484,460671
"물고기,신선(산것 포함),냉장 또는 냉동한 것",수출액[천달러],천달러,88686,70082,79090,72909,44892,75498,76535,75428,67669,91375,96486,106333,67185,70830,113488,102095,78427,90876,124045,106929,93502,121149,141559,158818,117318,137762,145637,182066,141530,150882
"물고기,신선(산것 포함),냉장 또는 냉동한 것",수입액[천달러],천달러,283771,197777,183995,173948,200492,178472,166917,150743,184298,157522,202334,246541,252580,182321,225875,212398,185837,215829,199040,196254,171729,208099,276066,318118,242059,242101,323912,318145,270370,227808
건조.염장.염수장 또는 훈제한 어류,수출액[천달러],천달러,825,1382,2090,2083,1550,2348,1961,1347,1769,2555,2829,2455,1916,1300,2704,2019,1898,2130,1752,1827,1710,2543,2045,1647,1599,2079,1528,1528,1514,1435
건조.염장.염수장 또는 훈제한 어류,수입액[천달러],천달러,8040,5404,6400,7443,9453,11400,10977,10332,8870,10704,10260,12124,7598,5929,8806,6685,8475,8087,8901,8106,7061,8628,12862,11382,2648,2226,3072,1450,2219,2208
"갑각류,연체동물 및 수생무척추동물",수출액[천달러],천달러,8513,9213,12082,9171,12875,14176,15762,14832,12681,14438,13239,17013,9497,10366,16825,16057,13603,17741,28095,21208,17764,25620,19417,25800,14946,12851,16237,18159,19590,17163
"갑각류,연체동물 및 수생무척추동물",수입액[천달러],천달러,127235,72114,80382,102562,116802,121101,132720,127212,143392,131375,152834,138824,106548,84408,123652,123194,132517,127423,118960,116588,126002,136910,162531,154753,100480,86049,109630,110635,124229,117932
"달리 명시되지 않은 어류,갑각류,연체동물,기타 수생무척추동물",수출액[천달러],천달러,58646,52151,81303,78056,71095,77105,73145,59786,68370,71848,75421,80511,58153,58133,77054,85133,85865,84897,74999,70126,76450,90958,94349,89981,75919,67599,87114,94373,94194,87794
"달리 명시되지 않은 어류,갑각류,연체동물,기타 수생무척추동물",수입액[천달러],천달러,129048,91574,95096,98068,106806,113181,119204,118852,116266,136201,127244,131386,120605,103765,128200,110160,117842,106170,107863,110737,134005,132721,147896,160808,131837,91261,123923,125503,122666,112723
곡식 및 곡식가공품,수출액[천달러],천달러,34174,40869,44866,60005,43290,43157,44340,42891,49689,46371,51047,47589,44268,42700,59881,62570,54397,50136,50354,50189,50813,63022,62428,62207,51026,51740,57294,55941,66811,52134
곡식 및 곡식가공품,수입액[천달러],천달러,420212,369166,343868,360277,393115,415333,416023,306032,380795,387400,311440,362302,485942,311457,443502,454520,512137,474539,503173,463346,508489,512909,551957,608682,564987,471401,675176,631027,597995,565661
밀(스펠트포함)과 메슬린.정미하지 않은 것,수출액[천달러],천달러,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0
밀(스펠트포함)과 메슬린.정미하지 않은 것,수입액[천달러],천달러,74234,91547,75230,70630,83165,92379,91137,68925,87896,88736,52388,94186,77818,63509,99335,91621,107848,87704,117091,118996,113102,195709,169626,106752,118122,112580,172448,169623,189315,123473
쌀(벼포함),수출액[천달러],천달러,271,2333,1097,12127,5156,195,366,2083,2144,327,873,404,479,232,431,11555,5416,200,315,294,613,2197,475,343,511,320,494,470,9683,512
쌀(벼포함),수입액[천달러],천달러,64000,20561,31173,33352,29818,53353,43064,5337,26352,19187,5778,43439,68391,7611,25512,38489,68126,17141,40918,32117,29851,404,10179,63834,29415,9426,61420,16738,48394,35963
"보리,도정되지 않은 것",수출액[천달러],천달러,14,12,13,50,35,24,4,10,28,34,79,11,36,10,17,14,25,21,22,49,25,30,12,13,36,18,5,22,36,8
"보리,도정되지 않은 것",수입액[천달러],천달러,1473,3622,1088,1317,1207,1079,1382,155,1343,153,1187,1062,1428,3800,637,964,912,1266,1362,752,1109,1274,912,1068,5841,1073,1397,983,1226,1460
옥수수,수출액[천달러],천달러,0,1,2,1,0,1,6,2,51,5,1,0,0,0,29,3,1,3,4,11,0,3,14,4,3,3,6,3,1027,14
옥수수,수입액[천달러],천달러,215410,204570,181498,197690,223145,202987,221120,177656,198301,213141,185124,150280,271223,178009,245084,252220,271515,293410,273378,242442,294104,246325,297884,358300,337687,282682,367384,370612,285536,335932
"곡물,제분하지 않은 것(밀,쌀,보리 및 옥수수 제외)",수출액[천달러],천달러,19,28,20,74,41,20,38,63,50,73,79,63,33,46,75,43,26,42,59,53,51,66,81,51,57,93,44,58,41,34
"곡물,제분하지 않은 것(밀,쌀,보리 및 옥수수 제외)",수입액[천달러],천달러,3158,1529,1938,2822,2415,1625,1193,1161,4288,1864,2374,4980,2584,1927,2449,2842,3393,1333,1471,1920,5958,2267,1973,3981,4874,2363,4098,2771,3210,1431
밀의 거친가루 및 고운가루와 메슬린의 고운가루,수출액[천달러],천달러,1965,2215,1977,3149,1972,2032,2091,1852,2146,1827,2313,2291,1939,1822,2278,2041,2171,1683,1768,2188,2042,2186,2687,2962,2086,2197,2597,3223,3487,2840
밀의 거친가루 및 고운가루와 메슬린의 고운가루,수입액[천달러],천달러,699,798,851,622,695,857,1078,532,617,778,695,843,969,672,941,601,923,1091,1177,973,914,1012,1029,1417,1022,982,1636,1271,1136,689
기타 곡물 거친가루 및 고운가루,수출액[천달러],천달러,165,200,160,139,220,195,180,178,290,291,305,272,395,222,238,193,230,216,185,142,133,183,198,258,117,127,170,77,207,205
기타 곡물 거친가루 및 고운가루,수입액[천달러],천달러,1223,695,844,916,754,1122,911,944,837,860,1077,1031,1027,996,785,1117,749,959,1220,1183,954,1025,940,1175,1305,807,1479,808,1221,1257
곡식가공품 및 곡분,수출액[천달러],천달러,31740,36079,41597,44461,35867,40689,41655,38703,44981,43814,47396,44549,41385,40369,56815,48721,46527,47970,48000,47453,47949,58357,58962,58575,48217,48981,53977,52088,52330,48519
곡식가공품 및 곡분,수입액[천달러],천달러,60015,45845,51246,52926,51917,61930,56138,51323,61161,62680,62817,66482,62502,54933,68760,66666,58671,71636,66556,64962,62496,64893,69415,72155,66721,61490,65316,68221,67956,65456
채소 및 과실,수출액[천달러],천달러,68979,68162,67496,56574,48755,58394,60059,57337,71544,74025,99788,99910,86514,65740,74504,66759,57004,63377,58352,66549,78079,85194,95219,109123,72331,62500,73298,54940,52932,49140
채소 및 과실,수입액[천달러],천달러,317796,246635,380631,379892,345193,331555,321089,244944,286630,275339,295610,324879,319836,291881,466673,445080,391420,384034,339287,294485,292626,292329,338674,359553,335620,313558,443534,409655,435443,335088
"채소,신선,냉장,냉동 또는 단순히 저장한 것",수출액[천달러],천달러,15562,16992,15096,15369,15383,21213,22100,15161,11234,13150,22425,17100,16035,13085,15466,14964,15847,19482,18347,14016,13692,16849,14403,16717,11412,11302,13361,12829,14312,12665
"채소,신선,냉장,냉동 또는 단순히 저장한 것",수입액[천달러],천달러,63861,37700,53645,58191,47095,50416,47473,44638,61412,55410,57304,77315,65073,56202,82083,70373,63482,66044,58215,52517,58582,59841,67155,82120,70373,59217,64133,62354,59899,52587
"달리 명시되지 않은 조제 및 저장한 채소,구근 및 괴경",수출액[천달러],천달러,10593,11862,13944,17290,16071,15470,15248,15357,13115,13344,15311,16404,22093,15140,17502,17442,15690,15489,15513,14741,15061,15394,15639,15314,16169,14819,16555,16622,15936,14031
"달리 명시되지 않은 조제 및 저장한 채소,구근 및 괴경",수입액[천달러],천달러,64204,46691,57808,56200,58963,59396,59246,52404,57094,61212,62366,58852,60192,53541,65726,62813,62227,64012,62045,57459,60100,62402,75299,76752,69658,56760,79183,66831,77186,72575
"과실 및 견과(기름용 견과 제외),신선 또는 건조한 것",수출액[천달러],천달러,24479,17118,14304,9283,3812,1998,3970,7622,22493,27693,33665,36707,26176,16983,15785,9308,2852,2536,3377,14343,25520,30680,34875,38712,24828,15329,14779,8586,2799,1475
"과실 및 견과(기름용 견과 제외),신선 또는 건조한 것",수입액[천달러],천달러,115847,102304,200348,196842,167969,141948,133326,84639,98711,88570,109473,118068,119762,115688,237915,237141,185437,169184,142373,109179,99413,97186,118599,124116,112811,133267,212788,198144,214313,130172
저장과실과 과실조제품(과실쥬스는 제외),수출액[천달러],천달러,14523,15978,20361,12307,10840,16474,14971,15438,20683,17089,25744,23765,17650,15849,19211,19772,18396,22028,17297,18863,20848,16684,24850,28085,14751,16578,21776,12054,13854,14700
저장과실과 과실조제품(과실쥬스는 제외),수입액[천달러],천달러,55780,41082,48696,48170,50231,53603,53193,42699,51592,52764,48388,54074,55311,50900,61838,57927,58313,63629,54768,56565,57422,56259,60605,61519,64572,51621,65707,64119,65931,58935
과일쥬스(포도즙 포함)와 채소 쥬스,수출액[천달러],천달러,3823,6212,3791,2326,2648,3239,3770,3759,4020,2749,2642,5934,4561,4682,6540,5275,4219,3841,3818,4585,2959,5587,5452,10295,5170,4472,6826,4850,6031,6269
과일쥬스(포도즙 포함)와 채소 쥬스,수입액[천달러],천달러,18103,18858,20134,20489,20935,26194,27852,20565,17821,17382,18080,16571,19498,15549,19112,16825,21961,21166,21887,18764,17109,16641,17017,15046,18205,12693,21723,18208,18114,20819
"설탕,설탕조제품 및 벌꿀",수출액[천달러],천달러,25360,27090,27411,24713,23827,27410,27387,27071,30618,27869,31297,31868,24100,19369,24432,25697,28963,28550,30622,30531,30390,30154,32366,37156,32202,21181,23620,29711,29863,29325
"설탕,설탕조제품 및 벌꿀",수입액[천달러],천달러,109764,86161,86771,97930,99998,102766,96480,84583,85266,77104,74327,111642,100777,79537,109807,116605,127032,95051,125873,108430,122395,97735,137691,138238,115949,127306,124480,132216,128274,125585
"설탕,당밀과 벌꿀",수출액[천달러],천달러,15621,13565,16624,16011,15635,18492,18246,18648,20690,19472,21268,20936,15842,12523,14620,17019,19575,18529,20839,21534,21143,20095,23044,26249,24000,12748,13701,18244,18597,17879
"설탕,당밀과 벌꿀",수입액[천달러],천달러,81701,67226,67785,78521,82922,86903,79208,69102,70423,57856,58199,88887,72663,61488,92380,98759,111164,77894,109306,92764,104661,74295,117746,113825,92502,109150,104509,112358,107351,107158
설탕과자,수출액[천달러],천달러,9739,13526,10786,8702,8191,8918,9142,8423,9928,8397,10030,10932,8258,6846,9812,8679,9388,10020,9783,8997,9247,10059,9322,10906,8202,8433,9919,11467,11266,11446
설탕과자,수입액[천달러],천달러,28063,18936,18987,19408,17076,15863,17273,15482,14843,19248,16128,22755,28114,18049,17427,17846,15868,17158,16566,15666,17735,23439,19945,24414,23447,18157,19971,19858,20923,18427
"커피,차,코코아,향신료 및 동제품",수출액[천달러],천달러,22616,19946,22996,23690,24947,26595,23619,24470,29787,27580,28173,30762,26411,24284,30801,28237,26730,26116,29106,25987,26014,31162,35511,35122,31397,29427,29160,28463,32743,25443
"커피,차,코코아,향신료 및 동제품",수입액[천달러],천달러,116144,95689,104371,100420,104782,109975,120270,114715,122696,132599,124497,126721,128239,108031,126108,136406,121828,144273,119350,129278,122001,151534,165964,170675,142398,122511,171748,159832,173740,151070
커피 및 커피대용품,수출액[천달러],천달러,15726,13644,16194,16858,18063,18206,16477,16934,20535,18523,18606,19723,18785,16034,21010,19048,19211,16024,20032,18278,16711,20821,22129,21014,20644,20616,19527,19893,22252,15830
커피 및 커피대용품,수입액[천달러],천달러,61398,53938,65306,58082,70746,77390,87025,74175,75944,81484,76171,72505,76671,66123,83190,91158,81522,100557,80333,86665,76157,89313,109333,108954,84793,79801,120740,116354,122287,111237
코코아,수출액[천달러],천달러,33,7,73,35,1,16,13,16,32,28,102,91,100,5,2,5,39,18,141,56,48,53,80,257,53,25,160,49,33,96
코코아,수입액[천달러],천달러,6033,4228,5380,6379,4037,7671,6823,7067,4494,5555,5139,6263,4415,5762,6226,5727,6521,5348,6514,5574,7800,7493,6633,6132,5646,6868,6875,6189,8805,6474
달리 명시되지 않은 초코렛과 코코아를 함유한 기타 조제식료품,수출액[천달러],천달러,4622,4319,4045,4303,4676,5115,4025,3906,5357,5615,5799,6094,4566,4508,4919,4374,3513,4696,4677,3763,5364,6038,7092,8873,6048,4999,5136,4346,5752,5272
달리 명시되지 않은 초코렛과 코코아를 함유한 기타 조제식료품,수입액[천달러],천달러,39516,29145,23243,23953,19736,14555,16091,23980,29758,36095,32750,37904,37351,27888,25587,24676,21565,24398,21251,26541,28553,39459,36745,42618,39732,25716,30312,22853,25508,20442
차와 마태,수출액[천달러],천달러,724,842,911,1119,907,1869,1314,2044,2320,1730,1561,2733,1762,2001,3108,3123,2422,3358,2877,2371,2198,2161,3311,3223,2427,1733,2248,2060,2323,2720
차와 마태,수입액[천달러],천달러,3815,3521,3983,3396,3292,3815,3317,4028,4286,3144,4802,4759,4651,3629,4724,4691,4020,4996,4925,4835,4761,5258,5208,5757,5495,3757,5855,4533,6359,4509
향신료,수출액[천달러],천달러,1510,1132,1773,1375,1300,1388,1790,1570,1543,1684,2105,2120,1199,1735,1761,1686,1546,2020,1380,1519,1693,2089,2899,1756,2225,2054,2089,2116,2382,1526
향신료,수입액[천달러],천달러,5382,4858,6458,8610,6970,6544,7014,5465,8213,6322,5634,5290,5151,4628,6380,10154,8200,8973,6326,5663,4730,10012,8044,7213,6732,6368,7965,9902,10782,8409
동물사료,수출액[천달러],천달러,16950,20205,21866,19915,16176,17280,16261,13829,23463,18387,21993,23885,19143,19005,23308,26320,21698,24496,25180,23165,24212,22003,29624,26981,26064,26281,29446,30485,28735,24419
동물사료,수입액[천달러],천달러,206063,188116,223841,230895,212433,232820,228044,184521,236712,213930,202410,244805,229673,221295,246131,243423,269196,262192,276603,260796,236923,269993,260963,293355,254568,278429,323403,303343,319711,308897
동물사료,수출액[천달러],천달러,16950,20205,21866,19915,16176,17280,16261,13829,23463,18387,21993,23885,19143,19005,23308,26320,21698,24496,25180,23165,24212,22003,29624,26981,26064,26281,29446,30485,28735,24419
동물사료,수입액[천달러],천달러,206063,188116,223841,230895,212433,232820,228044,184521,236712,213930,202410,244805,229673,221295,246131,243423,269196,262192,276603,260796,236923,269993,260963,293355,254568,278429,323403,303343,319711,308897
기타 식용제품 및 조제품,수출액[천달러],천달러,122704,140722,168331,173818,151593,164343,181804,151284,174084,160917,170182,190850,174645,158966,217894,198601,185907,185550,180507,182524,182912,194008,209403,215290,186709,179187,225825,203410,219070,206161
기타 식용제품 및 조제품,수입액[천달러],천달러,210448,184497,223332,217232,209837,219256,223155,200189,216021,211831,219363,228401,222931,212512,272359,242384,248220,245113,248152,245919,246153,252512,258016,273178,257177,236839,284367,272574,295684,274286
마아가린  및 쇼트닝,수출액[천달러],천달러,886,741,731,1029,431,491,833,788,1117,719,840,1400,1118,791,847,724,959,717,816,613,1210,1344,1477,1035,1075,1113,777,467,1017,964
마아가린  및 쇼트닝,수입액[천달러],천달러,7455,6519,8552,7361,8528,7810,7608,6545,7438,8283,9028,8148,8414,11367,11403,10793,10216,8469,9988,8896,9484,8934,12949,10810,11048,9047,12613,13482,15210,11726
달리 명시되지 않은 식용제품 및 조제품,수출액[천달러],천달러,121818,139982,167600,172789,151162,163852,180971,150497,172966,160198,169342,189450,173527,158176,217047,197878,184947,184833,179692,181911,181702,192664,207926,214255,185634,178074,225047,202942,218054,205198
달리 명시되지 않은 식용제품 및 조제품,수입액[천달러],천달러,202994,177978,214780,209871,201309,211445,215547,193643,208583,203549,210335,220253,214517,201145,260957,231591,238004,236643,238164,237023,236669,243577,245067,262368,246129,227792,271754,259092,280474,262559
음료 및 담배,수출액[천달러],천달러,109820,115915,182117,130155,139526,166697,175996,138118,165944,168199,147492,144557,108644,129180,171822,172627,155250,178819,138951,142638,149691,150332,162122,117870,138513,131523,152636,147479,140366,136093
음료 및 담배,수입액[천달러],천달러,106147,90266,98268,100104,111296,121897,115229,125063,111415,106899,116742,140350,112619,116958,131914,144097,130330,150098,145318,126841,113570,134515,146839,144827,145616,127005,142249,158092,159118,152165
음료,수출액[천달러],천달러,53365,56188,75252,62976,50563,62664,72716,61290,79444,65607,68709,70578,62319,65006,80702,85046,80389,84703,77494,67043,65893,70649,75171,76210,71652,69816,91034,88484,90885,81503
음료,수입액[천달러],천달러,70439,59217,63713,63629,70873,83250,84723,84788,88337,78942,85240,102317,92161,79256,98616,112212,100310,121709,111785,104765,89334,105797,111004,120556,108383,98618,120853,118760,125955,118206
달리 명시되지 않은 비알콜성음료,수출액[천달러],천달러,31833,34502,50050,41298,34625,41703,47016,41580,53612,42150,40127,46037,40271,41857,54296,57693,57124,58079,54855,43291,44595,49566,51147,53416,47435,48245,63514,61932,63430,57275
달리 명시되지 않은 비알콜성음료,수입액[천달러],천달러,11774,11382,13548,10272,13140,15230,15071,13861,18171,10717,11978,10779,9651,10624,15865,14866,13874,18035,17747,15035,13660,14221,12623,16302,12781,13378,17413,17517,20900,19687
알콜성 음료,수출액[천달러],천달러,21533,21686,25202,21678,15938,20960,25700,19710,25832,23456,28583,24541,22048,23149,26406,27353,23265,26624,22639,23752,21298,21083,24024,22794,24217,21571,27520,26552,27455,24228
알콜성 음료,수입액[천달러],천달러,58665,47835,50164,53356,57732,68020,69651,70927,70165,68225,73262,91538,82510,68632,82751,97346,86436,103674,94038,89730,75674,91576,98381,104253,95602,85240,103439,101243,105055,98519
담배 및 담배제품,수출액[천달러],천달러,56455,59728,106865,67179,88963,104033,103281,76828,86500,102592,78783,73979,46325,64174,91119,87581,74861,94115,61458,75595,83798,79683,86951,41660,66862,61707,61601,58995,49482,54590
담배 및 담배제품,수입액[천달러],천달러,35708,31049,34555,36475,40423,38647,30506,40275,23078,27957,31502,38033,20458,37702,33298,31886,30019,28390,33533,22075,24236,28718,35835,24272,37233,28388,21396,39331,33163,33959
잎담배 및 담배 부산물,수출액[천달러],천달러,1313,1967,2276,1334,58,623,1206,874,1243,520,1093,199,1130,438,1978,1673,2728,591,80,155,632,894,945,1090,768,1292,1167,1458,2880,2642
잎담배 및 담배 부산물,수입액[천달러],천달러,24644,17447,23605,23730,29398,24709,13561,25964,8191,14147,15609,15077,15500,27184,19267,18899,18550,12914,15903,8596,10917,16030,18254,11976,26213,13608,12350,22522,20442,21561
제조담배,수출액[천달러],천달러,55142,57761,104589,65845,88905,103410,102074,75954,85256,102072,77690,73780,45195,63737,89142,85908,72132,93525,61378,75440,83167,78789,86006,40570,66094,60415,60434,57536,46601,51948
제조담배,수입액[천달러],천달러,11063,13602,10950,12745,11025,13938,16945,14311,14887,13810,15893,22956,4958,10518,14031,12987,11469,15476,17630,13479,13319,12688,17581,12296,11019,14780,9046,16809,12721,12398
비식용원재료(연료제외),수출액[천달러],천달러,469068,451116,553960,515972,352635,424556,565837,447561,506753,536949,652093,678511,630310,677176,763127,907293,866112,806824,744907,838807,784825,721655,775332,825431,681062,671562,667764,848774,723720,663111
비식용원재료(연료제외),수입액[천달러],천달러,2423074,1995926,2364216,2625337,2091269,2098011,2448203,1972518,2603752,2480593,2899037,2926920,2940246,2918675,3275257,3782709,3230074,3789502,4155144,3583556,3600709,3948048,3651336,4069611,3456253,3053301,3308809,3635958,3854562,3324808
원피 및 모피,수출액[천달러],천달러,79,92,72,74,147,103,26,108,87,106,88,142,30,68,6,104,35,104,186,96,69,140,96,65,3,19,24,24,30,68
원피 및 모피,수입액[천달러],천달러,16350,13771,12482,16282,11275,6536,11494,6865,6759,8419,5730,7296,7209,6286,17925,13613,16556,14413,23519,15083,11361,16797,14550,11389,11743,11239,18909,18145,20417,11158
원피(모피제외),수출액[천달러],천달러,79,92,72,74,147,103,26,108,87,106,88,142,30,68,6,104,35,104,186,96,55,140,96,65,3,19,24,24,30,68
원피(모피제외),수입액[천달러],천달러,14858,13236,11265,11070,8368,5072,7697,4237,5543,5431,4773,7100,6511,6286,11149,10577,11644,14336,14345,14497,10870,14200,13739,10726,10879,11139,16656,12488,15820,10962
생모피,수출액[천달러],천달러,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
생모피,수입액[천달러],천달러,1492,534,1216,5213,2907,1464,3796,2629,1217,2989,957,196,698,,6776,3035,4912,77,9174,586,492,2597,811,662,864,99,2253,5657,4597,195
기름용씨 및 기름함유 열매,수출액[천달러],천달러,170,136,300,249,211,186,314,261,339,249,801,281,1445,344,380,345,310,229,409,258,357,254,293,292,604,218,299,266,425,353
기름용씨 및 기름함유 열매,수입액[천달러],천달러,57456,69341,81901,92145,61695,99186,69573,46884,76711,49636,86425,101975,36083,83216,104664,114570,73416,90651,121949,98499,82408,77001,105796,108342,98098,86996,84079,131446,94693,108938
