품목별,항목,단위,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월
남자 또는 소년용의 코트 및 이와 유사한 의류,수출액[천달러],천달러,7753,8607,8475,9005,9216,10583,12080,7059,8011,9753,12626,15692,12114,8293,12411,12743,12970,10646,11585,7770,10567,10664,11107,13513,11347,9617,11417,9058,10278,10304
남자 또는 소년용의 코트 및 이와 유사한 의류,수입액[천달러],천달러,60998,41455,66183,43278,35434,37094,58141,58579,56904,46982,33716,46826,53256,52748,63053,56321,35704,41052,48044,54612,63216,63210,65807,51737,64783,52370,71313,62632,47546,49125
"여자 또는 소녀용의 코트,케이프,자켓,슈트 브레이저",수출액[천달러],천달러,6475,8198,8640,7813,4335,5563,7019,7151,8388,7792,8243,8645,9077,7889,10662,10384,7654,8211,7661,9029,10334,10179,10661,11318,11650,8721,10486,9202,8315,7324
"여자 또는 소녀용의 코트,케이프,자켓,슈트 브레이저",수입액[천달러],천달러,63596,34411,57813,46408,38180,43194,55050,68734,75823,65701,53583,57546,60191,53111,63590,65791,50904,49552,56346,67553,83313,79789,73351,60451,71790,53993,70852,62576,56556,52271
달리 명시되지 않은 직물제의 의복제품,수출액[천달러],천달러,30056,45315,36495,48257,47548,35889,49821,30338,39058,40911,52001,45794,39430,31480,44581,40927,36717,36534,38985,41859,51629,49044,51055,49537,40899,39976,47488,43296,36920,39566
달리 명시되지 않은 직물제의 의복제품,수입액[천달러],천달러,333376,226999,300243,219800,166012,202222,283142,342938,359049,298300,236707,244443,303442,303943,343409,298444,232063,250110,304108,370171,407044,364959,337154,310209,427589,354212,416826,356584,304475,298381
직물제의 의복 악세사리(어린이용 제외),수출액[천달러],천달러,49354,40454,47550,53797,60129,64282,63565,41549,55599,51192,66382,64533,41423,37576,47806,69426,72136,78551,71688,47769,50382,71194,81861,73167,50514,38136,51679,76175,79232,72013
직물제의 의복 악세사리(어린이용 제외),수입액[천달러],천달러,35960,21026,29904,26384,24634,29717,29421,33580,42857,47264,49580,51631,40836,31655,36972,38093,33497,35292,37401,47571,50742,55330,61154,65615,53027,34135,41588,38336,40024,38924
의류와 의류부속품(직물제 제외),수출액[천달러],천달러,11889,17390,12788,11764,12856,19894,20457,17174,21023,18642,20913,23631,15182,14734,19976,17753,21549,20467,25341,23566,18744,23348,23712,20906,18329,14206,20046,15884,17832,21066
의류와 의류부속품(직물제 제외),수입액[천달러],천달러,52388,35051,48811,42398,46769,53208,61451,60480,62027,61559,62870,61341,59079,57966,70412,74836,78236,80911,81447,76703,75737,70698,80374,74966,66126,57861,65184,60951,70876,70804
신발,수출액[천달러],천달러,32019,33008,34294,29599,25800,45101,30869,33864,37805,31292,35601,39412,38285,26195,37851,37228,37452,34105,40280,28256,37628,35449,40867,44031,24449,23225,30609,21359,26159,27400
신발,수입액[천달러],천달러,323105,222600,287192,254343,229540,275105,243697,226052,257092,239040,234581,284580,266599,324693,319931,315550,287156,294702,276029,248865,239598,242953,284219,319875,354868,285454,369375,332550,373539,329370
신발,수출액[천달러],천달러,32019,33008,34294,29599,25800,45101,30869,33864,37805,31292,35601,39412,38285,26195,37851,37228,37452,34105,40280,28256,37628,35449,40867,44031,24449,23225,30609,21359,26159,27400
신발,수입액[천달러],천달러,323105,222600,287192,254343,229540,275105,243697,226052,257092,239040,234581,284580,266599,324693,319931,315550,287156,294702,276029,248865,239598,242953,284219,319875,354868,285454,369375,332550,373539,329370
"달리 명시되지 않은 전문,과학,통제기구 및 장치",수출액[천달러],천달러,993764,963395,1163670,942060,911304,1011904,1112951,1135650,1314254,1227014,1334740,1408369,1229436,1123793,1271628,1196234,1122128,1188780,1149649,1208229,1305150,1272141,1293579,1361378,782492,765083,932563,759642,810631,755060
"달리 명시되지 않은 전문,과학,통제기구 및 장치",수입액[천달러],천달러,1038816,1064398,1282700,1170513,1003747,1304889,1342255,1158554,1214480,1287695,1174692,1495360,1543198,1378365,1665213,1367264,1366304,1441275,1375113,1275866,1207565,1306290,1440042,1677976,1168623,1150312,1313813,1365595,1279095,1291684
달리 명시되지 않은 광학기구 및 장치,수출액[천달러],천달러,478849,452850,570435,437376,416221,454325,508598,570318,701249,631781,687867,697719,641084,544547,535868,462144,473242,463609,522455,662747,720913,664173,666819,617829,284085,253279,264683,221976,230200,156320
달리 명시되지 않은 광학기구 및 장치,수입액[천달러],천달러,137711,130697,185541,156947,140442,179110,181039,104335,125663,141014,136991,200097,197801,176352,196921,157186,171561,181068,154776,133847,137938,159493,165866,182854,142755,153225,174536,148930,144719,149029
"달리 명시되지 않은 의료용,외과용,치과용이나 수의용의 기기",수출액[천달러],천달러,76282,88251,97103,64458,60081,92108,97531,82771,105834,102194,111726,128640,104049,99273,128344,139167,127878,139055,137504,126607,134242,137632,140525,152153,64429,64544,76181,78947,78992,79544
