date,star,text,name
2021-11-28,5,맛있어요전주가서 구입했던 모주먹어보고 검색해보고 구입했어요호불호 강하긴하던데전 만족합니다,천년주가 전주모주
2021-12-11,5,빠른 배송과 내용 물 만족합니다,천년주가 전주모주
2021-12-05,5,배송받아 집에서 마실 수 있어서 정말좋아요,천년주가 전주모주
2021-12-11,5,맛있게 잘 먹었습니다,천년주가 전주모주
2021-12-07,4,너무너무 맛있어서 또 주문해요,천년주가 전주모주
2021-10-24,3,제조일자 4월20일 유통기한 6개월남았고 전혀 예상한 맛과 다릅니다국산쌀 사용이라 샀는데 동일제조사의 750미리짜리 다른제품을 사봐야할듯현대옥 콩나물국밥집에서 먹던거랑 완전히 다른맛,천년주가 전주모주
2021-11-16,1,모주를 다양하게 먹어봤지만 이렇게 신맛나는 모주는 처음 먹어봄 만들어진진지 6개월이 지나서 그런것 같은데하돈 아까움,천년주가 전주모주
2021-11-16,5,우연히 친구들이랑 먹다가 맛이 좋아서 구매했습니다 술을 못 먹는 저에게는 좋아요,천년주가 전주모주
2021-11-26,5,아주 맛있게 좋아요 자주 먹어야자ㅡ,천년주가 전주모주
2021-11-05,5,얼음동동띄우면 맛나요 감사합니다,천년주가 전주모주
2021-11-30,5,맛도 괜찮고 좋았습니다,천년주가 전주모주
2021-11-25,5,겨울에 따뜻하게 데워먹음 좋아요,천년주가 전주모주
2021-10-24,3,달달한맛이고 알코올이 거의 없어요 음료같이요,천년주가 전주모주
2021-11-10,5,진짜 그리웠던 모주맛이에요 진짜  좋아요,천년주가 전주모주
2021-10-28,5,배송도 빠르고 맛있어요 굿입니다,천년주가 전주모주
2021-10-26,5,진짜맛있었어요 특히 배추전이랑요 히히히,천년주가 전주모주
2021-11-01,5,재구매합니다 맛있습니다,천년주가 전주모주
2021-10-23,5,밖에서 술자리를 못하니 집에서 혼술할때 좋습니다 소주를 타서 먹어도 좋고요,천년주가 전주모주
2021-10-27,5,맛도 있고 좋습니다굿입니다,천년주가 전주모주
2021-10-29,1,포장이 너무 성의 없게 왔네요,천년주가 전주모주
2021-09-25,3,가격은 다소 비싼듯한데 맛은 전주에서 먹어본 모주와 차이가 있고 포장상태는 파손되어와도 안이상할만한 성의없는 포장이었네요,천년주가 전주모주
2021-10-09,5,배송도 매우 빠릅니다 구매확정 늦어서 죄송해요 선물로 보낸 건데 받는 분이 매우 좋아하셨습니다,천년주가 전주모주
2021-10-21,5,맛도 좋고 배송도 빠르고  만족합니다,천년주가 전주모주
2021-10-25,4,배송도 빠르고 상품도 좋았습닏,천년주가 전주모주
2021-10-16,5,전주 모주에 빠져 반신반의하고 시켜봤는데 맛있게 마실 수 있어요,천년주가 전주모주
2021-09-08,5,포장 깔끔하고 간편해서 좋네요맛은 좀 심심한 수정과맛이예요술보다 음료쪽이라 술 잘 못마시는 사람도 부담없어요,천년주가 전주모주
2021-08-31,5,빠른배송감사합니다 처음먹어보는데 맛있어요,천년주가 전주모주
2021-09-15,5,할머니 댁에 주문해서 조금 오래걸릴줄 알았는데 배송이 빨라서 좋았습니다 어른들도 좋아하시네요  반창하세요,천년주가 전주모주
2021-09-14,5,맛잏어요 재구매하겠습니다,천년주가 전주모주
2021-10-02,5,주위에서도 좋다고 했고 추천했습니다,천년주가 전주모주
2021-08-26,5,맛있게 잘 마시겠습니다빠른배송감사합니다,천년주가 전주모주
2021-09-28,5,빨리왔고 맛있게 먹었어용,천년주가 전주모주
2021-09-25,5,지인이 좋아해서 선물로 드렸습니다,천년주가 전주모주
2021-10-01,5,맛있습니다요 ㅎㅎㅎ,천년주가 전주모주
2021-08-24,5,감사합니다 전주에서 먹은 모주맛을 못잊어 시켜봤네요 기대됩니다,천년주가 전주모주
2021-08-28,5,배송도 빠르고 맜있습니다ㅋㅋ,천년주가 전주모주
2021-09-09,5,특별한 막걸리 입니다 가격은 다소 비싸지만,천년주가 전주모주
2021-08-22,3,포장이 부실한거 제외하곤 다 괜찮아요,천년주가 전주모주
